Content,Platform,Title,Rating
"With 'Mr. & Mrs. Smith', Prime Video reaches the perfect intersection between two avenues that it has put a lot of effort into exploring: that of prestige series and the action genre. [Full review in Spanish]",Rotten Tomatoes,,
"Mr. & Mrs. Smith cleverly juxtaposes dating/marriage with spycraft and the action is high, but while the writing sings at times, at others something feels off-key",Rotten Tomatoes,,
"It's kind of like married at first sight, except you're killing people.",Rotten Tomatoes,,
"There’s decent chemistry between the pair but come on, the only reason to watch is this: are they going to get it on?",Rotten Tomatoes,,
"Like much of Glover’s work, it deliberately doesn’t tell you where it’s going; it tiptoes up to jokes; it’s vaguely commitment-phobic. Who, or what, even is “the company”? But woarhh, the rest of it is crazy, unpredictable and very funny...",Rotten Tomatoes,,
"Glover and Erskine have been masterful as outcasts in “Atlanta” and “Pen15,” here they bring that same tone to an espionage caper.",Rotten Tomatoes,,
"Whether it is the chemistry, the writing, or a combination of both, there is so much to love about our two leads. The final product is conventional, but this series is comforting and entertaining.",Rotten Tomatoes,,
"Eventually, MAMS loses momentum and starts looping through samey set pieces, becoming repetitive and padded. But for a fair while it’s entertaining.",Rotten Tomatoes,,
"Donald Glover and Maya Erskine might give solid performances in this reboot of the Brangelina spy romp, but a slow start and wasted cameos makes this incarnation somehow disappointing.",Rotten Tomatoes,,
"It’s like Prime Video watched Citadel — that colossal train-wreck starring Priyanka Chopra — go off the rails in real time, and resolved to rescue Mr & Mrs Smith from a similar fate.",Rotten Tomatoes,,
Mr. and Mrs. Smith is the opposite of Bond’s disposable nature; there are no one-off girls and gadgets. It’s about two people who won’t (or can’t) leave each other and how that knowledge informs their relationship.,Rotten Tomatoes,,
"It wouldn’t work if the chemistry between Glover and Erskine didn’t work. But even in the early moments of the Smiths’ pairing, we can see them click, mainly because Glover and Erskine are working on similar comedic wavelengths.",Rotten Tomatoes,,
"Donald Glover, Maya Erskine and an impressive roster of guest stars deny us the details in this gorgeously photographed and well-acted series",Rotten Tomatoes,,
"Glover demonstrates that his choices are not clumsy or whimsical: he turned a blockbuster with little more than an ingenious idea into a tragicomic, seductive series and at times, of vast dramatic power and emotional intensity. [Full review in Spanish]",Rotten Tomatoes,,
"The intellectual detailing of the rife between the two infringes upon how swoony and sexy the series otherwise could be — there is romance here, but not the rosy, rom-com kind.",Rotten Tomatoes,,
"The series is stylish, cinematic and entertaining, with hooks waiting to snag you every time your attention starts to wander. But despite all that, it’s missing that indefinable spark that makes you fall in love.",Rotten Tomatoes,,
"If the 2005 film relied on explosive star power, the new TV version works harder for its payoffs.",Rotten Tomatoes,,
"Mr & Mrs Smith is a lot better than it could be, but not half as good as it could be.",Rotten Tomatoes,,
"A slow-burn series that’s smart and attentive to its characters’ psychological details, but it’s only fun in drips and drabs.",Rotten Tomatoes,,
One wonders how much better this would be if its makers were more insistent on seducing the audience with humor instead of searching for ways to dance around it.,Rotten Tomatoes,,
"While the show is less successful in other aspects, one thing it nails is the relationship between Glover and Erskine’s John and Jane. They’ve got fantastic chemistry, and you completely become invested in their journey.",Rotten Tomatoes,,
"I’m not sure if this quite worked as a Mr. and Mrs. Smith reimagining. It felt more like they forced two different shows into one, causing a clash that didn’t feel like time well spent. Paring down the time would've helped greatly.",Rotten Tomatoes,,
An Amazon series remake that somehow manages to feel both bold and boring while adhering to the same general log line. The result is arty and ambitious in a way that will likely be enjoyed very much by a very few.,Rotten Tomatoes,,
"It's... such a relief to watch a TV series that doesn’t strive for film-style plotting stretched over eight hours. There is some bumpiness in pacing and plotting, but Mr. & Mrs. Smith has a finely tuned sense of the world John and Jane are striving for.",Rotten Tomatoes,,
"While a little too conventional at times and sputtering in places, “Mr. and Mrs. Smith” is far more compelling than your average reboot of an action flick. So long as you’re not expecting more of the same, it’s worth giving this couple a shot.",Rotten Tomatoes,,
"By design and by the grace of its leads, the show can’t re-create the same sexual tension that was present in the movie. But that’s a good thing.",Rotten Tomatoes,,
"With Glover and Erskine as great as they are, and with a story that's wonderfully self-assured in its own identity outside of the 2005 film, Mr. & Mrs. Smith makes for a darkly funny treat.",Rotten Tomatoes,,
"The expert crafting of superficial pleasures, plus distinctive chemistry and heartfelt exchanges between its leads helps Mr. & Mrs. Smith hone in on an elusive target.",Rotten Tomatoes,,
"A great comedy-drama(?) that wisely mixes espionage and romance while subverting clichés, delves into themes such as a (fake) relationship, and where characters are masterfully played by the brilliant Erskine and Glover. [Full review in Spanish]",Rotten Tomatoes,,
"This isn't a rehearse of film, instead it takes a fresh & unique approach to telling this very large in scale action story but focuses on what its like to be in relationship. The chemistry between Glover and Erskine is phenomenal. This is a must watch!",Rotten Tomatoes,,
"“Mr. & Mrs. Smith” is a different, more emotive spin on the spy genre that will appeal to audiences looking for a sophisticated and sometimes exciting escape.",Rotten Tomatoes,,
"Donald Glover’s “Mr. & Mrs. Smith” series remake, which is, yes, comedic and funny, takes all its cues from imaging the story from an emotionally credible place. Because let’s face it, all bets are off when killers catch feelings.",Rotten Tomatoes,,
"It’s fun to see the talent involved, watch them interact with Glover and Erskine and wonder how the episodes will play out.",Rotten Tomatoes,,
"There is charm to the weirdness. But at other points the stripped-down story verges on boring. And for me, the dull outweighed the interestingly quirky.",Rotten Tomatoes,,
"Unlike the film version, these Smiths aren't pristine models. No, they are regular people with trust issues who are embracing a roller coaster of risk to start building a nest egg for incomplete dreams.",Rotten Tomatoes,,
"It’s smart, well-acted and involving, but the constant squabbling between these main characters in “Mr. & Mrs. Smith” gets pretty tiring afterwhile.",Rotten Tomatoes,,
White-hot romance and thrilling action.,Rotten Tomatoes,,
The series builds something different on the sturdy foundation established by the film.,Rotten Tomatoes,,
"Mr. & Mrs. Smith may not be a classic like Atlanta, but it can be a whole lot of fun.",Rotten Tomatoes,,
"There are countless whys orbiting the narrative planet. The writing and acting, however, are such that you believe in the people, if not necessarily their situation.",Rotten Tomatoes,,
"Erskine is fantastic in this, making a sizzling pair with Glover in a funny, breezy reimagining that’s half action-packed spy games and half cute rom-com, and equally adept at both halves.",Rotten Tomatoes,,
"In time, maybe this version of Mr & Mrs Smith will come to be the defining one. It certainly deserves to be.",Rotten Tomatoes,,
"For a show about two superspies, based on a nonsensical Brangelina thriller, it is remarkable for its honest, relatable depiction of a relationship between two disaffected millennials.",Rotten Tomatoes,,
"It cleverly inverts the movie’s premise. It blends the best elements of retro TV and modern TV, and deftly balances the ridiculousness of the core idea with the danger of it.",Rotten Tomatoes,,
"The series has a texture and tone all its own, akin to Glover’s surreal dramedy Atlanta. It’s a singular story that’s as sexy as it is mysterious.",Rotten Tomatoes,,
"In a TV landscape filled with rip-offs and repeats, Mr. & Mrs. Smith forms its own (secret) identity.",Rotten Tomatoes,,
"Adapting its premise to the series format, it changes the focus from action and comedy to developing its characters and life as a couple. Maya Erskine and Donald Glover genuinely humanize the spies [Full Review in Spanish]",Rotten Tomatoes,,
"Whether it’s the show’s ability to draw out their relationship or Glover and Erskine’s chemistry, I don’t know, but I became instantly invested in how John and Jane interact with each other more than I ever did with the film.",Rotten Tomatoes,,
"Glover and Erskine make a good pair of leads and a good pairing. They’re not 1,000-watt stars like Pitt and Jolie, and the absence of glamor makes their relationship more relatable.",Rotten Tomatoes,,
Donald Glover delivers high thrills and high comedy with a series that's as much about intimacy as it is about espionage.,Rotten Tomatoes,,
"It is almost a shame that Mr. & Mrs. Smith is tied to the original film so obviously. The show is light years more interesting, involving, and clever.",Rotten Tomatoes,,
"Glover and Erskine’s alluring rapport is the reason to come to Mr. and Mrs. Smith, but it’s also the show’s adhesive.",Rotten Tomatoes,,
It's a frustrating waste of both its talented leads and even more talented guest stars. Mr. and Mrs. Smith might have found greater success if it had leaned into the comedic potential of a marriage thrown together by extraordinary circumstances.,Rotten Tomatoes,,
"Mr. & Mrs. Smith attempts to be an intellectual commentary on marriage but ends up dull, predictable, and tedious.",Rotten Tomatoes,,
"If you’re expecting the movie with Brad and Angie recast, this is not that. It’s turned something light and silly into a show that’s dark, smart, and hard to categorise.",Rotten Tomatoes,,
Glover and Erskine’s amazing chemistry is what makes it all work.,Rotten Tomatoes,,
The question that supersedes will they or won't they is: Why should we care?,Rotten Tomatoes,,
"It’s a cliche to joke about how relationship drama can seem like a matter of life and death, but it can really feel that way, and exploring that dynamic with literal bullets flying overhead proves meaty enough for more than one season of television.",Rotten Tomatoes,,
A fresh and intellectual take on the 2005 movie that’s fun and relatable. Glover and Erskine are both fabulous. Using spy missions as a metaphor for relationships proves to be fascinating. A great binge watch!,Rotten Tomatoes,,
"A remarkably easy watch, a fun piece of comfort food programming that alternates unpredictable mystery-of-the-week plotting with increasingly likable characters.",Rotten Tomatoes,,
Mr. and Mrs. Smith is must watch Television,Rotten Tomatoes,,
"Simply put, “Mr & Mrs. Smith” is the first must-see show of 2024.",Rotten Tomatoes,,
"The show’s focus on their relationship, and attempts to keep it together, instead of on spy work gives the series a different spin but also creates its own challenge in keeping the material fun.",Rotten Tomatoes,,
"Mr. & Mrs. Smith proves that you can reboot something and end up making a completely new and unique creation that not only stands on its own merit, but excels",Rotten Tomatoes,,
The Donald Glover and Fransesca Stone adaptation could be called Mr. & Mrs. Smith: An Anatomy of a Fall from a Marriage. Their Prime Video series is a thoughtful high-wire act for a new generation.,Rotten Tomatoes,,
"“Mr. & Mrs. Smith” left plenty on the table when it left multiplexes nearly 20 years ago, and a new television series makes a convincing case the film’s concept has always been better suited for another medium entirely.",Rotten Tomatoes,,
Mr. & Mrs. Smith is DAMN GOOD TELEVISION and Prime Video’s best series yet. A smart and refreshing take on the 2005 film with sexy and sophisticated performances from Donald Glover & Maya Erskine.,Rotten Tomatoes,,
"The results feel surprisingly fresh, because show creators Francesca Sloane and Donald Glover have eschewed the easy option – a dumb action thriller – in favour of something wittier and more thoughtful.",Rotten Tomatoes,,
"Familiar and slight though the set-up may be, the series rarely feels contrived or stale thanks to the show’s breezy screwball energy and a pair of charming performances by Glover and Erskine, who exude an effortless, effervescent chemistry.",Rotten Tomatoes,,
"The series subverts the crime thriller and rom-com genres, taking a look at the reality behind the spectacle of espionage, the mundane moments post-mission when all they want to do is take off their shoes, wash off the blood, and watch cartoons.",Rotten Tomatoes,,
"What a delight to watch something smart and deeply felt that's also so fizzy and funny. And on top of that, it's stylish and great-looking.",Rotten Tomatoes,,
Donald Glover and Maya Erskine’s wonderful chemistry isn’t enough to save this erratic series.,Rotten Tomatoes,,
Mr. and Mrs. Smith is a sizably entertaining and meditative spy thriller fit for a millennial demographic.,Rotten Tomatoes,,
"Chock full of great music and one of the coolest on-screen apartments/homes in recent memory, Mr. & Mrs. Smith is the definitive spy-romcom/relationship drama and is a solid binge-watch this weekend.",Rotten Tomatoes,,
"It’s sometimes more of a hangout show, with people existing and talking. Mr. & Mrs. Smith is in no artificial rush. It’s not constructed to make you feel the thrills—instead, it’s designed to explore the characters and the moments in between.",Rotten Tomatoes,,
"Maya Erskine and Donald Glover shine both together and individually in this spy thriller meets rom com, which reimagines the film in a unique and fun way.",Rotten Tomatoes,,
"[Mr. & Mrs. Smith is] your average, run-of-the-mill soap opera with some mild action [...] with the dialogues either sounding like they’ve been improvised on the spot or like one of those unnecessarily dark and serious SNL parodies.",Rotten Tomatoes,,
"The writing is smart, the performances are great, and the characters are interesting – not likeable, not by a long shot, but with enough complexity and oomph to keep you fully invested in their journey.",Rotten Tomatoes,,
"A successful marriage of action-thriller and mumblecore romcom, 'Mr. and Mrs. Smith' skips the movie adaptation curse thanks to its laidback charm, effective comedy, and the exceptional chemistry of its leads.",Rotten Tomatoes,,
"Prime Video's Mr. & Mrs. Smith has fun thanks to its winning leads, Donald Glover and Maya Erskine, though its pacing raises some eyebrows.",Rotten Tomatoes,,
"It is fast, fun and witty. Care has been taken with every aspect.",Rotten Tomatoes,,
"Whatever it is, It’s worth a watch, but it might not check everyone’s boxes. I do hope people accept it on its own merits and don’t compare it to the film too much.",Rotten Tomatoes,,
"Fueled by nimble writing and the natural chemistry of its two leads, 'Mr. & Mrs. Smith' is the (very) rare reboot that both evolves and honors the original.",Rotten Tomatoes,,
"Glover and Erskine are the duo you didn’t know you needed, and soon, the couple you won’t be able to get enough of in this show.",Rotten Tomatoes,,
"Like the original Mr. & Mrs. Smith, it's a product of its time: Rather than schlock and awe, it aims for restraint and wit.",Rotten Tomatoes,,
"Mr. & Mrs. Smith has its delights, with a plot that sends the duo on glamorous top-secret missions to one picturesque location after another. But it’s all built on the wobbly foundation of a romance that’s more interesting in theory than in practice.",Rotten Tomatoes,,
Amazon's Mr. & Mrs. Smith series starring Donald Glover and Maya Erskine cleverly reworks the original movie’s spy fantasy into a layered drama about relationships.,Rotten Tomatoes,,
"Glover and Erskine bring an inescapable warmth to their pairing of supposed cold-blooded killers. Although they lack Pitt and Jolie’s action chops, they get the job done, their moves all the more believable for their lack of slickness.",Rotten Tomatoes,,
"You can tell Mr. & Mrs. Smith was created by Donald Glover because it has the same feel as Atlanta. They shouldn't have called this Mr. & Mrs. Smith though. I think that's why some people left negative reviews because it doesn't resemble the movie at all. I think the people who didn't like it would've liked it more if they called it something else because they went into it expecting the story to be along the same lines of the movie. It's not. It doesn't make it bad though. Both Donald Glover and Maya Erksine were fantastic in this. They have such natural chemistry. This show has plenty of drama, action, comedy, etc to keep you entertained.",IMDB,Will keep you entertained,8.0
"I had an absolute blast watching Mr. & Mrs. Smith. I just binged all 8 episodes over the weekend and it was such a fun show it flew by. This is both a good spy thriller and a good rom-com. Donald Glover and Maya Erksine are both terrific as the leads and every episode has guest stars from other well known actors. It had Alexander Skarsgard, Eiza Gonzalez, Paul Dano, John Turturro, Ron Perlman, Ursula Corbero, Sarah Paulson, Wagner Moura, Parker Posey, among others. Each episode was a different adventure and they were all fun to watch. Glover and Erksine star as John and Jane Smith. Two loners who are put together to work as spies for a mysterious organization.",IMDB,Looking forward to next season,8.0
"Did I feel like some parts are boring , yes but overall I liked the story and progression. Not sure why anyone thought it was supposed to be a remake of the movie lol it's a series. Structure is completely different so whoever is comparing it to the over the top unrealistic action scenes from the movie already set themselves up for failure. Donald glover is an amazing talent and I was shockingly attracted to him the entire movie even though I have been listening to him for years and never felt that for him lol so I guess Im smitten with the way the character was written. I liked them both individually, my only gripe is I don't believe the characters fell for eachother, even during the makeout/sex scenes, it seems like they're just friends who might as well sleep together because theyre supposed to keep the real reason theyre together a secret. They had chemistry but not sexual chemistry. I look forward to the expansion of the story, maybe with new characters mixed in with appearances from the s1 characters. Idk I'm not a writer so what do I know.",IMDB,I enjoyed it,8.0
"Terrific chemistry, excellent writing, I loved the concept, and I simply couldn't get enough. Donald Glover continues to impress as an actor, a writer, and a showrunner (and his partnership with Hiro Murai continues to blow me away). I think a lot of people were put off by thinking this is a reboot or sequel to the 2005 movie and I have to emphasize that it is NOT. It is a complete reimagining of the concept. And it blew me away. I'd also add that the little details, the Easter eggs, the set design, and the wardrobe was STUNNING. This was a show made with care, meticulously crafted around a couple of acting powerhouses. If you're on the fence about this show, go ahead and give it a try. I have a feeling you'll be happily surprised.",IMDB,Absolutely loved it,10.0
"A wonderfully acted spy action series with two interesting leads and one that I liked very much and that was Jane ""the Robot"", under her ice-cold fish face she was such a joy to listen to her speaking, flawless accent, grunts and ""growls"" and see her running and fighting like her bobo was on fire.Had the shows' script and plots were on par with the acting, gorgeous scenes and more than good visual effects, it would have blasted the ""shuup"" out of that lovely truth serum.I love how Jane laughs and how John softly speaks! Bring season 2 on with more thrilling adventures and that one bullet better be and remain in that ""ugly"" Jane's head after her two missed shots!Screenplay/storyline/plots: 6.5Development: 8Realism: 7.5Entertainment: 7Acting: 8Filming/photography/cinematography: 8.5VFX/CGI: 8Music/score/sound: 7Depth: 6Logic: 4Flow: 7Action/comedy/crime/thriller: 7Ending: 7.",IMDB,Truth serum and bobos on fire,7.0
"Season 2 please! Prime Video please to renew this! Francesca Sloan & Donald Glover are a very trustworthy team that will not disappoint. Maya Erskine is a phenomenal actress. This show could be her breakout role! If Mr. & Mrs. Smith season 2 materializes, it promises to elevate the excitement and surprises to new heights. The first season masterfully blended spy action, love stories, and a compelling mystery, ensuring a rollercoaster ride for its dedicated audience. Fans of intense drama eagerly await official confirmation while relishing the opportunity to revisit the captivating world of Mr. & Mrs. Smith on Amazon Prime Video.",IMDB,I'm just waiting for season 2,10.0
"I fell victim to the marketing ploys of this show and was excited for this show to be released, watching most of the series the day it was released.It is well made and had a good production value. Well shot and for the most part well acted. But I find the subject matter to be dull and the writing to be a bit lazy.This is a spy show that is missing all of the quintessential ""spy things"" found in the genre. First off, the characters are basically Craigslist Kirkland-brand spies. They are not very good at their jobs and they are following the orders of a chat-GTP style entity. Also, the series is episodic, so they are in a new location doing a new task every episode. This is okay, but 90% of the episode is spent examining their relationship, while 10% is spent doing a few spy things.All of the realism in this show is spent on relationship building. It's like a committee sat down and wrote a standard rom com using fights, quirks, and highlights from all of their previous relationships and packages them into a show. Needing a hook, they threw in a few lazily-written spy scenes to match it watchable.I'm being a bit harsh here. The series is somewhat enjoyable and the relationship scenes are pretty well executed and well thought out. But if you are looking for an espionage/spy show with any sort of realism, this isn't it. This is a show about the fake marriage between two people that just happen to be spies.",IMDB,Somewhat Interesting But Ultimately Falls Flat,6.0
"Better than I expected. Great writing, direction, music, and imagery, but its biggest win is the chemistry between Donald Glover and Maya Erskine. Their chemistry is electric and cozy at the same time. They make you root for them, invest in them, and want to see so much more of them.This show revels in the small, in-between moments. It shines when John and Jane are just being together. Whether they are laughing over annoying party guests or arguing over what constitutes emotional cheating. Through their ups and downs there is always an undercurrent of deep love and reverence towards one another. They want to be together even when it seems like they don't work anymore.While the spy aspect is second or third to the relationship, always, they've built enough of a foundation to make the lore interesting.I can't rave about this show enough. It's been an over a month since I binged all eight episodes and it has stayed with me. It's my favorite show of 2024 so far and I know by the end of the year it will at minimum be in my top 3 of the year.Give it a shot. It's not a remake of the movie. It's a reimagining with a focus on the minutiae instead of the bang bang explosions.Donald Glover is a genius and Maya Erskine is a revelation.",IMDB,Trading sexy for intimacy,10.0
"John Smith (Donald Glover) and Jane Smith (Maya Erskine) become Mr and Mrs Smith working for a Spy company as a (arranged) married couple who go on spy missions.To be clear this Is not the Pitt/Jolie Smiths, but, in time, you will see certain similarities if you recall the Pitt/Jolie movie.John and Jane admit to each other that they joined the Company because no one else would take them. They commit to a relationship with no romance, but when you get to Episode 2, you will see that falls apart.In the beginning I enjoyed the banter between John and Jane. It was like boy meets girl and boy likes girl and it was fun seeing how they interacted with each other. They worked well going on spy type missions that the company mandated.Yes, this is slow going and rightly so, but when you get to Episodes 6, 7 and 8 all changes. Ep 6 has them going to couples counselling; EP 7 has Jane finding out that John has been seeing someone else; and EP 8 bring everything to a head and it is here in EP 8 that you will vividly recall the Pitt/Jolie movie. Trust me.Notables: Ron Pearlman as Toby Hellinger who they kidnap; Paul Dano as their neighbor; Wagner Moura as another John Smith; Parker Posey as another Jane Smith; And you will see Beverly Glover as Donald's real mother. (Donald Glover produced this movie)Two things I had trouble with: 1. The sound quality was not good often as the characters often talked in low tones, and 2. We often see John or Jane looking at their phones for text messages and we see the screens, but we cannot make out the words. Not good. Bad direction here.Yes, this is slow going and it had to be to capture the flavor of two people who needed to learn to trust each other in a very dangerous job.Violence: Yes.Sex: No.Nudity: There is a painting in their house of a naked man and woman.Humor; Sometimes
Language: Yes.Watched at: Amazon Prime Video. There are 8 Episodes.Rating: B (7/10) 5 Feb 2024.",IMDB,"Slow Going, but has its Moments",7.0
"I figured the 1st episode was just slow-burn material, introducing the characters & the premise, then it'd pick up a little more with each continuing episode. The tone & pacing remained the same, which made it a bit of a chore to watch. While the main characters do have mildly entertaining chemistry with one another and there are some interesting & moderately humorous scenarios, the episodes overall just aren't that engaging or interesting.I think I'd rather see them doing missions as experienced professionals than as somewhat bumbling amateurs trying to make things up as they go along. Even the action sequences are a bit lackluster... Not terrible, but just kind of by-the-numbers.Just not for me.",IMDB,Watched the 1st 3 episodes... Lost interest.,5.0
"I could not stop watching this show! It kept me guessing and I had to watch the next episode to find out what happens next.I LOVE spy shows with how-are-we-gonna-get-out-of-this-mess situations, and characters having to use their wits.THIS version of Mr. & Mrs. Smith is NOT your chic sexy Angelina & Brad,
BUT this version is UNIQUE and fun and Maya Erskine as JANE SMITH is fantastic & hilarious.The couple's imperfectionists and clunkiness make them relatable and very likeable. The ""comedy"" aspects of the series does not make the spy missions LESS thrilling or suspenseful. The writing is sharp and witty and the comics have great timing (Maya!)Please do a SEASON TWO because I just devoured Season ONE!",IMDB,I binge-watched all 8 episodes in one sitting!,10.0
"I watched all 8 episodes and found them to have the same sentiment as the original movie but with a ton more depth. And also what I thought was better acting, Donald and Maya took every episode and put their full acting strength behind it to give each episode a familiar piece of life with some crazy action involved too. Some of the mid episodes definitely just felt like fillers and since we had the general plot going we didn't feel as we had to watch every second to get the gist. Now to the ending, DIDN'T LIKE, why with 8 full episodes would the series runners leave it on a cliffhanger... not appreciated and made me have mixed feelings toward the entire series. Boo.",IMDB,Same story but more...,7.0
"I see a lot of discussion surrounding how alike or different this is from the movie. Even though I love the movie, I went into this without any expectations on what it should or shouldn't be. But even with an open mind, I just found myself not fully enjoying this series. I reluctantly continued through to the end.It has plenty of good. Both leads give great performances. I enjoyed the dialogue, especially the heated debates. There are a few powerful moments. And the action is serviceable (but scarce).It's hard to understand why I couldn't get into it more. But I think one problem is that, episode to episode, there are major shifts in their relationship and the story in general. We don't see how or why it happens. It's all offscreen and it's fairly jarring. On two different occasions, I double checked which episode I started to make sure I didn't skip one.For that and other unknown reasons, I always felt at an arm's length from this story. And the series in general. I think many will like it, but it's not something I'd personally recommend.(1 viewing, 2/6/2024)",IMDB,I wish I liked it more,4.0
"Mr. & Mrs. Smith Season 1 delivers a thrilling and clever experience that keeps viewers on the edge of their seats from start to finish. Each episode is skillfully crafted weaving a narrative that continually keeps audiences guessing. Drawing inspiration from the original movie, the series maintains its essence while offering a fresh and exciting take on the 'existing' characters.From the first episode to the last, the brilliance of the writing shines bright. As the season progresses, the stakes continue to rise, keeping audiences hooked until the very end.Mr and Mrs Smith has quickly become a standout in the crowded landscape of television. I, for one, cannot wait to see what season two has in store.",IMDB,Better than I expected,10.0
"Mr. & Mrs. Smith (2024) has an almost dreamlike, enchanting quality that keeps you mesmerized throughout its eight episodes of the first season. There is no flashiness or exuberance as seen in Doug Liman's movie. This remake is extremely understated, with the focus on relationship drama rather than providing outright action thrills. While action does come into play, it is not the primary focus of this adaptation. This approach works well for the show, as it is not a mere copy-paste of the movie; it offers something different, something deeper, and more unique than the original, which was great in its own right. Donald Glover and Maya Erskine are stupendous, their chemistry and quirkiness making the show truly stand out.",IMDB,"Love the movie, love this show as well.",7.0
"You wouldn't expect an action series continuing a well-established franchise of the same genre to actually be a two-character play, but that's exactly what it is.Don't get me wrong, the fight scenes are not lacking, and they're exceptionally well-done, but the overall impression is not of your typical action-packed series.The writers are absolutely brilliant, and the dialogue between the two main characters, the two spies named ""Smith,"" a sort of generic conspiratorial name, feels like a conversation between two regular people in a relationship. Their ""service"" as mega-spies seems almost incidental. They argue, they love each other, literally and figuratively, they have normal people problems with their own families, the whole package.Two exceptional actors, Donald Glover and Maya Erskine, are the best proof that diversity hiring, when it doesn't overshadow talent and competence, doesn't bother anyone.It's leagues above the original 2005 film with Brad Pitt and Angelina Jolie, which is a two-dimensional comedy with shootouts and gimmicks.The series is available on Prime Video via subscription.",IMDB,Mr. and Mrs. Smith or The Afternoon of an Elite Spy,10.0
