"Title","Content","Rating"
"Beautifully made series","To be very honest, when a friend told me we should watch the crown, a series about Queen Elizabeth ll life, i was not excited, im normally not a very good person to start watching a new series. However, so glad i watched this. Me and my friend watched 3 episodes, and i watched the rest on my own, latter that day. The series is exciting, fast past, amazing cast, beautifully shot, beautiful costumes. Besides all that, The Crown , have made me look with another eyes to the royal family, specially Queen Elizabeth, to be honest i did not know much about her personal life . The series shows the struggle of the royal family, and make us realise they are all people in the end, with their problems and feelings. I truly hope they will make another season, to continue this extraordinary show. Thanks Netflix.",10
"Slick and well executed, the Crown is drama at its finest.","The Crown boasts no action sequences or big movie stars, and yet it is one of the most expensive shows of all time. Why? Because of the sheer attention to detail. Aside from the fully historically accurate costumes and locations, the show is just gorgeous to look at. The lighting, the cinematography, and everything else visual about it is on point. It's quite apparent none of that money went to waste.The show doesn't just look gorgeous, though. It is also compelling, well written, and well performed. In fact, almost every element is perfectly executed, which means that no single one stands out above the rest, but rather they work in harmony. And that is the show's greatest success; the fact that it all comes together smoothly into a neat, binge-able, high quality package.Mind you, the reason I enjoy the Crown so much is that I knew what to expect when I went into it. This is NOT a fast-paced, action-packed, edge-of-your-seat experience. It is a character drama about the royal family. It runs at a slow pace. Yet it is gripping all the same. That's why it is so good to know that Netflix made such a large investment in this series; they're taking chances and funding original and unusual things in an era when Hollywood is afraid to do anything that isn't already an existing intellectual property. I hope that the Crown blows up like Stranger Things. I hope it gets all the attention it deserves.",7
"Total hatchet job","The first four seasons were excellent. A measured portrayal of the royal family. The fifth season is a compete hatchet job. Imelda Staunton is completely unconvincing, and the characterisation of Charles doesn't sit well. Given the recent death of the queen, putting out something that will disproportionately affect how young viewers see the monarchy is a serious responsibility. Instead, the makers of this season have seized the opportunity to mix historical fact with complete fiction and share it without any form of caveats. I've no doubt that much of what is shown will be taken as gospel by those unwilling or unable to read past the political bias oozing from every frame.",3
"A Majestic series","By season 3, the series has kept a high level of professionalism, acting, and story even when they changed every single actor !! Such an extraordinary series !!",10
"Binge Watching after the Death of Queen Elizabeth 2","Queen Elizabeth 2 just passed away and I have been binge watching almost all of Season one in the past 2 days since she died, may she rest in peace.This is so good. I don't know how I missed it when it came out back in 2016, but I'm so happy to get to watch it on Netflix now.It is riveting, beautiful, and moving, and I'm so looking forward to watching the rest.It was moving, watching the king die on the show and seeing young Queen Elizabeth first starting out, when now in real life she has passed and her son Charles is now King and taking over. Gives a real sense of time moving on and stopping for no one.",10
"Brilliant TV","This is a great series, and for older Brits (Baby boomers), the historical significance is stunning. The first series of actors did an excellent job, and now we are into the second series, and the acting just got better and better!Olivia Coleman is brilliant, as usual. The episode on the Welsh disaster in Aberfan was so well done and very sad. I intend to watch this many times as it is of high quality. I wish all TV were this good and such a high standard.Binge it!",10
"Season 5 what a pity!","I enjoyed so much the previous seasons, so I had much expectation on the following one.They were fantastic because of the great script, marvelous acting from both Queens, scenarios, intrigues, etc. I could say that was my favorite show.But now, with season 5 I am quite disappointed: there is too much talking, there is not a dramatic crescendo, the characters are plain. Quite boring.Plus, Queen Elizabeth II has not much interventions in the plot. I understand that the season was filmed in a very touching and difficult moment, but she is not anymore central of the plot, Prince Charles is the one who's there. And he is not that an interesting character...",8
"s3 ep6 tywysog cymru","I never thought that I would feel sorry for Prince Charles until I watch s3 ep6",10
"Huge fan, but season 5?","What happened in season five?I'm 5 episodes in and they seem to have abandoned their format.Before it was real life historical events in Britain jusxtosposed against how the royal family was effected or involved.This tension created the drama.Without the historical Britain piece I am just watching boring, spoiled characters.The show really suffered this season.I was so excited for it. And it's just not the same show this season.Characters are ""all right"". But their plots droll on.There isn't enough to fill ten episodes.I'm not British, but it does sort of feel like an agenda.Or they over edited it after the Queens death so as not to ""affect her legacy.",8
"Losing its sparkle","The Crown (1-4) was truly excellent. A brilliantly casted, written set of episodes, dipping into the many historical segments that have fashioned the monarchy to where it is today. What makes The Crown so appealing is the casting and acting. But, Series 5 is such a disappointment. Over-acted, badly characterised, tooth-pulling episodes that lose the once excellent sparkle it had. There are moments of excellence. John Major, The Queen in particular are outstanding. But, there are too many 'lame' representations' and storylines that drag on. Let's hope Series 6 gets back to the recipe The Crown once had and the sparkle can return.",8
"What the hell happened to Crown?","So dissapoonted from the writing and acting in the new season! Whole episodes focused on not so importnat people or events rather than the royal family. So much worse than the previous 4 seasons where the focus was on the royal family. The new casting very dissapointing, Diana actress is dissaster! They picked a handsome actor to act Charles, you watch and you don't feel the character! Also, the appearances of random characters just to show some connection with the royal family, but this goes on for half an episode and you forget what you are watching I relly feel like I wasted my time to watch this season, I really hope that the last one will be better and in line with the first 4 seasons.",8
"Can't help it but I miss Foy","There are a lot of things i like with season 3. Most of it is good. The stories, the characters, the actors.Colman is a good actor, no doubt about it. She played the part really well.The problem for me is:Claire Foy played the part like she was born to do it. I've never seen anything like it on tv.20 hours of portraying Elizabeth II made Claire Foy the real queen in a young age for so many of us.And the fact is; Every actor who comes next needs to portray Claire Foy. Not The Queen.",6
"2022 season is awful","Could this season be any slower? They are trying to extend into another season with filler. The first episodes gave some momentum at the start, but has now descended into inane sidebars. Carriage riding...really?? The disappointments of love, stories told by the supporting characters for a whole episode? I'm so bored I can't go any further.Could this season be any slower? They are trying to extend into another season with filler. The first episodes gave some momentum at the start, but has now descended into inane sidebars. Carriage riding...really?? The disappointments of love, stories told by the supporting characters for a whole episode? I'm so bored I can't go any further.",5
"A fantastic portrayal of British Royal history","The Crown is one of the fascinating dramas I have watched in very recent of times. First off, the show itself is a bit slow paced but nevertheless, it generates enough amount of suspense over the episodes. The Crown may lack the twist and turning of events than many other historical dramas, but the flawless direction and impeccable acting of its actors do not allow its audiences get disappointed. Secondly, the grandeur of the show is something of a treat to the sore eyes. Netflix has not been so frugal in the making of the show and it has paid them off every penny. The costume and the furnishing of the show within are scintillating. Lastly, this show is a great history lesson for all the viewers, particularly the ones who are of younger generations. It is mostly based on true events, so that is indeed a stand-out fact of the show. Though there were some moments where it seemed a little bit exaggerated but considering its genre as a TV series, that is reasonable. The Crown has allowed its viewers to peek what lies behind the royal curtains and taught a significant truth that a royal born doesn't necessarily get to evade all the personal tribulations that all the other commoners go through. They share just as same values as the other citizens of the country.",9
"Season 3 is a bit of a letdown","While I loved the first two seasons, I'm a bit disappointed with season 3. I didn't find it as exciting and engaging as the previous two, and mostly I felt really... removed from the Queen. There were very few personal episodes and scenes that really centered around her. Sure she was on screen a lot, but mostly as a participant in someone else's inner/outer conflicts. What I loved so much about the first two seasons was how much we got into the Queen's headspace, her struggle with her role, her sister, her husband, how she was trying to find her footing with government officials, as a woman, as a queen, etc... Now my feeling was that she really 'managed to disappear while wearing the crown', as Margaret had put it.
My other main issue was of course the replacement of the whole cast. Initially I was very disappointed that we're going to lose Claire and Matt and Vanessa Kirby, all of whom I had grown very much to love in their roles, and they were doing phenomenal jobs of course. Then I was a bit excited seeing all the great names involved, I love and respect Olivia Colman, Tobias Menzies is an incredibly colorful actor, Helena is one of my favorite actresses since Fight Club, and I love, worship, adore Charles Dance of course :) It was also interesting because I never watched a show before where the entire cast was changed between seasons. But sadly, I don't think this experiment worked. They all did very remarkable performances, Tobias Menzies was in particular very good as-Matt Smith-as-Prince Philip, but none of this seemed to matter. I kept missing the original cast. I couldn't drown that little twinge of constant disappointment when I saw Olivia and not Claire. When you put a character into an other actor's body, it simply isn't the same character anymore, and the wonderful first cast was a very big reason in us all falling in love with The Crown.
It also irritates me, because we didn't even jump that much ahead in time yet. They could have easily aged up the actors a little, a lot of shows have actors playing decades younger/older characters then themselves. With a little makeup and styling and practical effects they could have easily sold us the original actors as older versions of themselves. Instead everybody felt way too old all of a sudden, particulary Lord Mountbatten, who was a man in his prime and now is suddenly kind of ancient. And why did they have to reacast Michael Adeane, who was oldish to begin with? I didn't even know that was him (and Charteris) until some stray subtitle gave them away.
And I know it's a small and probably silly thing to mentoin, but the eyecolors of the new Queen and Margaret bothered me more and more with each episode. I got so used to those striking blue eyes, that their new doe-eyedness jolted me out of the story even more.
The show is of course still top-quality television, the aforementioned mistakes and faults notwithstanding, but once we're given perfection we'll expect perfection and season 3 fell short for me in that regard.",8
"Please remake Season 3","This show ticked all the boxes in seasons 1 and 2. The change of cast spoilt it for me (much like my fellow reviewees). I would totally love to see season 3 remade with the original cast.",8
"A Truly Masterpiece! Royal as it must be!","The Crown is almost one of the best period movies ( or better say, series of movies ) ever made. It defines the quality of historic period film making with every aspect. The casting is superior, the cinematography is outstanding, the thoughtfully written script just fixes you to the chair and you cannot stop yourself for several hours to watch it through. I personally watched it all twice to digest all the details prepared for the audience. I must admit The Crown easily made me a Netflix fan & a paid member after a quick glimpse at the trailer. A fortune is spent but worth every penny. Thanks to the producers, the amazing directors and the wonderful cast.",10
"Series 3 Concerns !!","The Crown series 1 & 2 is an outstanding production with outstanding actors that respected how important their part for "" The Crown "" was, however I cannot understand why they are changing the actors for the third series. This I fear is a very bad move Clare Foy and Matt Smith and other close relative's should have just aged and because of this may be a major error to the production and loose the audience . I wil always see this as a documentary because of the brilliant costly research that went into this. Well done Netflix producers for an outstanding production so far.",10
"Season 1-2 is still the best","Season 1-2 was perfect, but major casting mistakes were done in season 5. I've grown to like Imelda Staunton as the Queen although her performance seemed a little insincere. I normally really adore Lesley Manville but she's totally wrong to play Princess Margot. Her accent and her demeanor is all wrong for this role. But honestly, the worst casting mistake was Dominic West. Dominic West was Dominic West. He failed to transform into King Charles as the previous actor did. Other reviewers are all complaining about Debicki and the actor who plays Prince Phillip, but I liked both of them. They were definitely better than West.The episode in season 5 that highlighted the last moments of Tsar Nicholas's family was very spot on. A lot of people don't know that the Bolsheviks murdered their family in cold blood, raped the young princesses's and buried them like animals. Bringing awareness to this historic horror was important and well done.",8
"I miss Claire Foy","It's good, but I'm still adjusting t Olivia Colman as the Crown. Season 3 was just nit as exciting to me. Is still a great show though",9
"Engrossing highlights of Queen Elizabeth II's reign","The crown depicts the highlights of Elizabeth II's life from just before she became queen through the vicissitudes of being the symbolic head of one of the world's most powerful nations. Just a young married mother when she ascended the throne at age 25 in 1952, she survived one prime minister after another, family scandals that rocked the world and tragedies both national and personal. Her marriage with Phillip of Mountbatten, while rocky at first, became one of the pillars of strength which she leaned on.Through it all, Elizabeth remained ever aware of her divinely-anointed responsibility to put the well-being of the crown above everything on earth, even above her family and herself. And this is one aspect of the British monarchy that I find most admirable, even relevant - how monarchs like Victoria, Elizabeth I and Elizabeth II take their duty to the crown utterly seriously. One of the coronation rites mentioned in the drama was the anointing of Elizabeth as queen. This part of the ceremony is not shown to the public and was not shown onscreen. But it greatly intrigued me because of how powerfully it seemed to have affected the monarchs, making them faithful and dedicated to the crown. If only all heads of states around the world are as serious and dedicated to their duties!The drama is well directed and acted. It is reported to be among the most expensive TV series and it shows. The quality of production is top-notch.",9
"Season 5 Letdown","I loved every minute of the series until season five came along. The actor playing Prince Charles looks nothing like him physically, in demeanor, as well as body language, speech and movement. The woman playing Princess Diana is mugging in the worst possible way by straining her neck downward and pushing her eyes upward constantly. It is painful to watch! She also towers over all the other actors in every scene to a distracting level. How could such a fine show have such terrible casting choices? I've watched the first three episodes, and they all have stories that really go nowhere and seem to addresses side issues that barely pertain to the royal family at all as in past episodes. Previous seasons, placed the activities of the royal family in the context of larger historical movements in this season, seems to have a little interest in that. I'm sorry to say this series has ""jumped the shark"" as they say.",6
"The Crown: Grotesque","PlotFollows the political rivalries and romances of Queen Elizabeth II's reign and the events that shaped Britain for the second half of the 20th century.CastClaire Foy, the always excellent Olivia Coleman, Imelda Staunton, Matt Smith, Jonathan Pryce, Dominic West, Helena Bonham Carter and more.VerdictI was never going to like The Crown, it stood no chance, absolutely no chance in the slightest. The very concept is offensive, the woes and plights of these types people? Are you kidding me? I have about as much empathy as I do when Kim Kardashian loses her 15th ivory back scratcher.This is not entertainment, it's obscene.RantsOverpaid actors playing offensively overpaid individuals within a societal structure that simply shouldn't exist anymore! It's ironic, and absurd. It's 2024, how is the monarchy still a thing? You do remember the purpose of it right? Why it was created? What their jobs were? Now look at modern society, note that they don't need to do any of those jobs anymore as they've either been delegated or simply aren't required in this age. But we keep paying these people offensive amounts for doing literally nothing. It's insulting, people literally choosing between keeping the lights on and putting food on their table while these people have piles of money added to their piles of money which they couldn't begin to spend and all for accomplishing absolutely nothing. It's sick, it's perverse.The GoodAn impressive lineupThe BadNo entertainment factor
The subject matter is just insulting.",2
"wake me up when it's done","The royal family can rest easy. All the worries about a delicate fifth season were completely unfounded as viewers fall asleep after the second episode and stop after the fourth episode and watch something else. I was so looking forward to the new season, like so many others. But it's unbearably slow, boring, uninteresting, and unimportant. Big disappointment. Lady diana and prince charles are played very well. That has to be said. The similarity of facial expressions and gestures is spot on. It's just a shame that you're following other characters all the time that you don't know and aren't interested in.",10
"Brilliant.","I am Irish and don't like anything to do with the British Royal family or what they represent. However this is a brilliantly made series. Lavish sets, great period detailing, excellent yet subtle musical score.
Love the casting and the acting. Some facts we're questionable and skewed but appreciated for added dramatic appeal.",10
"Season 5 disappoints","I had been looking so forward to season 5 only to be disappointed.It was so boring compared to the previous seasons, Claire Foy played the best queen and did the middle aged queen.Unfortunately season 5 the cast all but Diana don't look like the real life royals. Charles was miscast the actor is good, however they could have used some prosthetics for the big ears and nose. He was far too handsome compared to the real Charles, Camilla looks like Camilla, Philip doesn't resemble the real one either.The actress that plays Diana tries a little too hard always with those doe eyes Diana was charming, sweet and charismatic.It was interesting about the Tzars and seeing Diana visiting her brother and the breaks failing, knowing her phone was hacked.. they tackled some of the taboo subjects including Philips affair. I didn't know he called the Queen Cabbage she always did look so old even when young.Hopefully season 6 is better as this was way too boring I lost interest in every episode.",10
"Disappointing","I have never written a review / add comments, but this time I feel I should.
Season 1 and 2 were brilliant, but at watching season 3, my wife and I got really bored at times. The acting of Olivia Colman was soo totally different, it 'killed' the grandeur Claire Foy brought in the first two seasons.
In fact, we more or less assumed this season would be the last one...
But just read that Claire will back in season 4 - hopefully she is well paid now...
I am sure Olivia Colman is a great actress, but in our opinion, not in this role.* It seems when rating season 3 (5/10) - I'll be rating all seasons as well.",10
"Best Princess Diana casting","Emma Corrin is the best Princess Diana casting, charming, lovely, energetic and elegant. She is the one who kept me wathcing.",10
"Phenomenal","Oh my, i just love this programme. Just finished season 3 and whilst yes i enjoyed the previous 2 seasons this one is by far the very best.
Olivia Coleman is an absolutely splendid Queen Elizabeth and i really cannot shout that loud enough. I have always loved & respected our Queen immensely and the chance to get to know her just a little bit better makes my heart happy.
Thank you Olivia, in my opinion this is your absolute best work to date. I couldn't take my eyes off the screen.
I am gutted its finished, what am i going to watch for the next year!",8
"Season 3 takes getting used to","I have quite enjoyed the crown and came to love the actor's portraying the royal family. However, such a big change from season 1-2 to season 3. I kind of wish they would have aged the original actors than replacing them. The Queen and Princess Margaret's eye colors changed from blue to brown. I understand the need to change, but not sure if removing the first cast was the way to go.",9
"The crown","The series was a great acting performance in the series, especially from Claire Foy, and she deserved the Golden Globe Award for Best Actress for her embodiment of the life of the Queen when she was young, and Olivia Coleman for embodying the life of the Queen. While she was middle aged, Matt Smith for his portrayal of Prince Philip If Gillian Anderson doesn't win a Golden Globe for Best Actress, the award is unfair. The biggest negative about the series is its slowness and some characters like Princess Margaret. Although there is some distortion in history that did not spoil the series, I am very excited about the fifth season of The Crown",10
"Never in a Million Years","At first glance, I would have never thought in a million years that a biopic television series about a, then living, British queen would interest me. But man was I wrong! This is dramatic television of the highest order and a ""crowning"" achievement in cinematography and storytelling - small screen or big. The writing has its artist liberties, and its plot may not be completely factual, but nonetheless, it's a gripping story that, we as the viewers, can draw its relationship to events we've witnessed alongside the cast in their retelling of 20th century events. I would highly recommend this series to anyone who values production, story telling and career defining performances.",7
"Change of actors","Brilliant in every way with one exception. I wasn't happy when the actors changed. I wonder why the original actors couldn't just remain with makeup to show aging. I became quite fond of the first Queen, her sister Margaret, and Philip. Not used to the second set yet.",3
"Oh dear season 5","Gloomy, slow, unconvincing and as we know some things never happened. Imelda Staunton is quite grim as the Queen, it was a difficult decade, but one light-hearted scene of her playing with the corgis was not enough! And Dominic West was too good looking and smooth to be Prince Charles.All in all I was disappointed, but beautifully filmed as ever with fantastic locations and attention to details. The killing of the Romanov family in Russia in 1917 was especially moving and gripping alongside the visit later by the Queen to Russia, that made me want to read my history better. The relationship to the British press was well portrayed and I thought the young Prince William and his teas with the Queen were great scenes, in an otherwise gloomy tone. I will watch any new series though.",9
"Accurate but not accurate","Coming from someone who has met several members of the royal family, this is a bit of a strange one. I absolutely love it and can't get enough of it.In terms of accuracy nobody knows only the royal family and I'm sure they will be laughing at how false it is and holding there hands in there head at how over dramatic they are portrayed.The cinematography is absolutely stunning and the locations as well as the accuracy of the sets is sublime. Hats off to Netflix they've done well with it all, from the shots in the palaces and castles to small things like particular aircraft and liveries of the eras. It's the small things that make the difference.The soundtrack is probably one of the best bits about it all. Puts you in the mood and sets the tone through the different scenes. Martin Phipps well done.Yes it's a drama and it needed to be watchable in order to make it worth while. The cast was well selected and you develop hatred and love for the same person over the several seasons. Pip Torrens is a great example of this.I've enjoyed it all the way through from 1-4 so far and looking forward to 5.Don't dismiss the fact that the story is over exaggerated it has to be otherwise it's a documentary and people would have switched off after the 1st season.Keep up the good work and don't let it go stale.",9
"A crowning achievement","Love historical dramas, and it fascinated me just as much to see one centred around (as of now) our longest reigning monarch, a title that for a long time was given to Queen Victoria. There was so much talent involved that my interest was sparked further, despite admittedly not being the biggest fan of Netflix. 'The Crown' turned out to be a wonderful series, at its very best some of the best television seen in a while and in a completely different league to much of anything else Netflix has done (so much so that it had to be a check to see that it definitely came from Netflix). Season 1 was so well executed in every regard, while Season 2 boasted even richer material. Totally get the adoration, while sharing some viewers' misgivings about the inaccuracies and some biased and distorted characterisations (the Duke and Duchess of Windsor coming off worst). Vanessa Kirby for my tastes was a bit too annoying as Margaret as well. However, the great things far eclipse the not so good. When 'The Crown' was great, it was the very meaning of a crowning achievement. It couldn't have been any more classy and sumptuous visually. The photography and production and costume design are evocative and a sight to behold. The music for me wasn't too intrusive or low-key and was beautiful scoring on its own. The main theme is not easy to forget. Writing probes a lot of thought and intrigue, it is much more than soap-opera and doesn't feel too modern (not like 'Victoria'). Loved the intimacy and subtle tension of the storytelling in each episode, the deliberate pace in no way a hindrance, and the character chemistry scintillates. The characters are very compellingly written, with enough balance in characterisation to overshadow the instances of one-sidedness and most of them have more than one layer. Cannot find many qualms with the acting. Claire Foy is dignity and class personified and Matt Smith acts every bit as splendidly with lots of authority. One of the biggest standouts of the near-uniformly strong support (Kirby being the exception) is the powerhouse that is John Lithgow, so much so that one can look past misgivings of him not being quite right physically (being too tall for one by nearly a foot, Churchill was not a tall man). Overall, deserving of the acclaim it's garnered. Not quite perfect but really quite wonderful and something of an achievement. 9/10 Bethany Cox",9
"Margaret Thatcher","I can't take the phony accent. Margaret Thatcher never sounded this bad in real life. Every time she speaks it sounds like she is gasping for her last breath.",8
"Beautiful To Look At, Uneven Historically","The Crown is certainly a beautiful drama. There was no expense spared in replicating some iconic scenes. But from the first episode onward, there are some significant historic inaccuracies that detract from the production.The most grievous is in the way the writers frame the roles of the Duke and Duchess of Windsor. For one thing, it's clearly documented that she fled England before his abdication. She did not sit by his side while he gave the abdication speech. She was in France, sobbing her eyes out.And, she only met Queen Mary once, at a ball, and only for a moment. However, she took steps to heal the rift, and the Queen famously added a PS to a letter saying, ""I send a kind message to your wife."" By the 1950s, there was barely any contact between the Palace and the Windsors. They were off in Paris or in New York, and there were no circumstances under which he would have been an adviser to the Queen. This is all fabricated.Also, one of the writers must have it in for the Queen Mother, because her portrayal is nothing like the friendly, fun loving woman that she was. She's almost unrecognizable.My advice to anyone watching is to consider this as ""inspired by"" the life of the Queen, but by no means take it as fact.",10
"Astoundingly good!","I never give 10 stars, but in this case there simply is no other way.
I cannot find a single thing that could detract my score in this series. The acting is on a mindblowingly high level from everyone involved. And because you can't have the royals speak their mind all the time, the actors must convey tons of ""dialogue"" with their expressions only! So with the enormous gallery of people here, it must have been a nightmare trying to find actors which not only fit the role, and were good enough, but also had to look alike too! But they have succeeded perfectly! I didn't realize there were this many top level actors in Britain!
The direction and sets also deserve praise!
I seldom call something perfect, but that word is really on the tip of my tounge here...",9
"Your Netflix subscription dollars at work!","Plot summary: A shy young woman, descended from a long line of hardworking German immigrants, doesn't feel quite ready to take over the family business.The first season, scripted by the brilliant Peter Morgan (""The Queen""), covers only the first few years of the young queen's reign, and this big canvas, like a painting by Breughel or Bosch (but with nicer furniture!), allows for a tight focus on some tiny but revealing details; I especially liked the episode in which ER II, who's only been taught French, deportment and the British constitution, uses her expert knowledge of the latter to outfox the palace HR department (it's complicated) and hires a tutor to teach her, among other things, how the H-bomb works.The cast is just about perfect, and Morgan's done an amazing job of bringing these remote, puppetlike figures (especially so for those of us who grew up during that era) to life in a convincing way. Over the course of ten episodes, we see Claire Foy's soft, expressive face transformed into an impassive mask of authority (perhaps the makeup artists deserve some credit here). Mike ""Dr. Who"" Smith is especially impressive as a slightly feral Prince Phillip, likewise Jared Harris as a menschy George VI, and John Lithgow (6'-4"") totally crushes it as a supersize Winston Churchill (5'-6"").It's all pretty great. Most of the drama consists of intense two-shot interactions in overdecorated rooms, but there's plenty of royal pageantry, plus excursions to Kenya and Australia (both played by South Africa, btw) and various primo huntin', shootin' and fishin' spots. On to season two! We're eager to see if Princess Margaret really had it off with Jagger during the 60s!Update: We're still on board with S5. The other royals are completely upstaged by the antics of future Charles III and Di, of course, so that competing subplots--Phillip's platonic friendship with MILFy Penny Knatchbull, for example--start to seem like filler, but otherwise it's all good.",8
"The Crown: Stylish, Classy and Original","Taking place in the 20th century, 1947 to be precise. King George VI is coughing up blood and is drawing his last breath. Mean while Queen Elizabeth is to be wed to Philip Mountbatten. When she is blindsided by George's demise. She's left in awe, as she has no education to lead her people. As her ascension was not predicted to happen in the near future. Realizing the predicament she is in. She struggles to keep her people in line while trying to comprehend the overwhelming responsibilities she must bare. With the weight of her country on her shoulders she must knuckle down and take a step forward to embrace her influence. Produced by Peter Morgan, who is know for penning the overzealous ""The Queen(2006)"". You can tell that no expense was spared, as the series has an estimated budget of one hundred million pounds, the show enraptures you with it's glorious visuals and stupendous costumes. The actors, are strong in there respective fields, especially Jared Harris who delivers the performance of his career as King George VI. On top of all this, Hans Zimmer and Rupert Gregson-Williams scored the soundtrack. Which should tell you the talent that is behind this epic series. Netflix has truly outdone themselves.",9
