"Title","Content","Rating"
"Stopped watching at S3:5 (in the middle of the episode)!","This is why I wait to rate shows. I, like many others, enjoyed season 1. I never took this show very seriously, as it so soapy it seems like it's that way on purpose- almost like a parody. The overly dramatic bits made me laugh. It's popcorn drama, a bit of fluff, I can turn off my brain and enjoy the train wreck while being entertained by some good actors. It was never going to be Shakespeare, and it didn't need to be. Unfortunately, this show starts to take itself too seriously by season 3. I'll get back to that in a mo.I thought season 1 handled the #MeToo issue sensitively and offered a more balanced view than we are normally privy to. Things started to go downhill in season 2 and the writers became more and more heavy-handed with their agenda, and it's very obnoxious. Which brings me back to season 3. I am as progressive as the next gal, but being punched in the face with ""wokeness"" (not a term I normally use) is cringeworthy and insulting. And it's endless. It's not a sprinkling, it's a downpour. It's such a turnoff; hence, the turning off of the show entirely in the middle of S3:5. They have become the opposite of subtle. It's embarrassing. It makes me embarrassed to be a progressive (but not enough to join the dark side). It IS possible to present your ideas in an intelligent, subtle and thought-provoking manner; I like shows that make me think, not shows that tell me what to think.It is unfortunate that more and more shows are like this. Preachy. It reminds me of 80s shows and how they all had to have a moral to their stories. *eyeroll*",5
"Wish I could rate seasons separately","I would rate season 1 an 8. It tackles a lot of social issues while still remaining entertaining and still doesn't get too preachy.I would rate season 2 a 5 at best. It is boring and attempts to include so many issues that it becomes a woke nightmare. Stop after season 1 if you aren't on board the woke train.",10
"Best character on tv goes to Billy Crudup!","I just binge watched, (unintentionally) the first season and I have to say it was one of the best shows I've seen in a while. Is it perfect, no, but that's what makes it great! Billy Crudup's character was perfect! Both well written and played. He deserves all the praise in the world for this role, as does Reese Witherspoon. I was so motivated to write this after reading how certain critics (Sophie Gilbert) for example thought the show was poorly made, referencing too many cooks in the kitchen, so to speak. But for me, the chaotic nature of the show and the levity Crudup's character (Cory) brought to every scene was worth the price of admission. So I cannot wait to see what season 2 will bring. Hopefully the same balance of characters and comedy that killed quarantine day 23 for me.
Bravo Apple+ !",9
"Bill Crudup is a revelation","Billy Crudup in the Morning Show series is the most consistent, compelling and nuanced actor I have seen in ages. I have not seen him in other movies or if I have I don't remember his performance, but he is a revelation in this role and I found that I wanted to see him in scene after scene. His acting was nuanced, yet bold and brash and completely absorbing. I hope there is a season 4 and that he returns for every episodes and that he continues to find a way to outsmart and control the network as he set out to do and that he finds some reward for the unfulfilled depth of the emotion that you can see in his performance.",10
"Holy Moly I am Speechless","I had to create an account just so I could come on here and say just how incredible this show is. I ended up bingeing it in three days (couldn't do it all in one day as it is quite emotionally heavy in some parts). The finale was so brilliant I was sobbing, shocked and overwhelmed with emotion. Wow. Just wow.",9
"Apple+ has set a high bar","{Initial Impressions} Can you call it an initial impressions when you are 6 episodes deep into a 10 episode series? It's just that good! Once I started watching it, I couldn't stop until I was caught up. The acting is great. The cast is accomplished, both stars and supporting performers. The story is well defined. Do not be mislead, this is a serious drama. I can't say enough good things about it. Apple+ has set a high bar for itself with this inaugural series. I give it a 9 (superb) out of 10. {Drama}",8
"Excellent show - Stella was terrible!","This show had excellent writing and a great storyline. The character development was great and the cliff hangers were well thought out. HOWEVER, Stella's character in the second season was terrible. This character was just thrown into the second season with a prominent role and no backstory, while she continuously berates other characters throughout the season. It's hard to not hate that character, in my humble opinion.",10
"It's like a crescendo into justice.","People who don't think it's good writing, didn't watch the whole thing. It's a slow burn. But wow what an incredible show. I hope it wins all the awards and inspires more people to stand up for what is right in this world.",7
"Season 1 is 8 stars, season 2 is 5","Season 1 had a good, interesting, story line, that grabbed you from the beginning. Kept you watching esp in anticipation on what will happen in the rivalry between the 2 female leads. But they suddenly coming together in end in that show of woman solidarity was more depressing cop out, enough to drop the season from a 9 to an 8.Unfortunately, it seems they had no idea of what follow up story to tell in season 2, other than just showing a bunch of rich media people being ambitious, competitive, nasty, and neurotic. The Witherspoon character's particularly irritating, and she's spent half the season shouting at people. Crudup is best, he's held the series together. And the Carrel character's an interesting watch. As the guy who's fell off the mountain top...and, alas, has to console himself with the millions he's made. (And Carrel even has a resemblance to Matt Lauer)",9
"Excellent show. Great acting. Gripping story","Loved the first three episodes. Story flows smooth. Acting from great actors is upto the mark.",6
"Season one outstanding; season two meh","Season one really hit all the right notes. Season two tripped and fell. Alex needs a good whack upside the head. And what happened to Bradley? She's a totally different person. Cory has become inept window dressing. And Chip needs better lines than uh I'm sorry um. The little Asian girl is obnoxious. One of the best characters is the Italian reporter! I have grown tired and weary of the bickering and backstabbing and who is going to blame who. Basically the show just needs to grow up.",5
"Wait....did they forget to write a screenplay?","After a pretty decent first season, viewers are now into episode seven of the second season and many must be thinking (like me): ""Wait, did they forget to actually write a screenplay for season 2?"".There is really nothing intriguing about this show during this season. Storylines, dialogue and character development; it's all really ""mèèèh"" at best this time around and mostly really just boring and uninteresting.Dialogues just seem never-ending and are not compelling in the slightest.Of course I noticed on various other Apple shows as well that screenwriting is apparently not in the list of requirements set by Apple.But they could have at least tried, right? Talented actors and most likely tons of money to spend.What a complete waste of budget and talent this show has become... just a pile of garbage to be really honest.5 out of 10 (and that's only due to an above average season 1).",9
"IMDB rating","You can score a show and each episode, but you should be able to score each season.I don't score episodes, only an unique score for the show. But in this case, like in many others, this doesn't reflect my opinion.The morning show season 1 is an 8 for me. Season 2 is may be a 5. How can I express that?I think it'd be cool to say people, ""look season 1, and stop right there"".",8
"9/10 for the first 5 character driven episodes but then it falls apart","The first 5 episodes are excellent. The writing is almost all top notch, the balance of storylines feels good, and it felt like a debate, an eye opener was being allowed to form. Would have been 10 with some better casting, but really, a top show.Then came episode 6 and it felt at first like really clumsy, unsubtle, political mid season filler. Really poor.Episode 7 wasn't as clumsy but simply ill considered. The tension given by the internal spaces of 1-5 was lost, replaced with poor quality CGI, open spaces that felt like they were there for posing and, yet again, a filler feel.Episode 8 got things back on track but together with 9 and 10 had firmly switched to event driven writing with the vents feeling forced and designed to reach a setup. So the intrigue, the sense that these could be real people, and the essential need for the stories to feel that they came from the characters was lost Well, almost. There was some of the good stuff but it was a small amount, drowned by the ""let's now show this chess move, then that chess move"", and characters acting the way Eps 1-5 hadn't set up at all.I persevered because 1-5 had been so good but overall 5-10 dragged this down to a 6 for me. And I stopped there after seeing the reviews for season 2.Stand out. Carrell. He gets written poorly more in 6-10 but when he got the material, 10/10. Weakest lead, Witherspoon because she wasn't right for the part. Should have been someone in their 30s at oldest, better still late 20s, someone who actually felt and looked different to Aniston. Best support, Harden by a mile. Weakest (unfortunately for the show) Mbatha-Raw.",8
"S1 was excellent","I only wished there were the possibility to rate seasons independently. S1 was excellent yet S2 was a mediocre Show at best, with after the established brilliantly gripping writing and character development felt like a letdown.S2's motto was ""cancel culture"" which is an infuriatingly annoying subject by itself, and makes it almost impossible to sympathize with any of the characters anymore. And once you can't sympathize or root for characters a show is doomed.I'd rate S1 with a 9,5/10 and S2 with a 5/10.",10
"Two words: Jennifer Aniston","This show is Jennifer's hands down. She is playing her career best right now and I'm loving every moment of her. She deserves all of the awards that are eventually coming her way! I can't wait to see where the rest of this show goes, I'm completely hooked with Jennifer. The male characters are very well acted, Steve Carrell, Billy Crudup is at his best and Mark Duplass is turning me into a fan. Steve Carrell's character is a little too uncomfortably on the nose to Matt Lauer. I think that part is a little weird for me still, I still slightly cringe when I see Steve Carrell's scenes and story line. I suppose that's the point? I think overall it's a good look behind the curtain of the politics and bs that goes on behind closed doors.",10
"I never give 10s","I absolutely LOVE this show! I wasn't interested, but decided to give it a try. I am so glad I did. I don't want the episodes to end. Great acting, and great story. 10!",8
"Give It a Chance","The show begins to find itself in episode 3. It's great to see Jennifer Aniston take on a role like this. She, Reese and Billy Crudup are great as is the rest of the cast. All the famous faces make it a fun watch regardless. Looking forward to episode 4.",10
"Something Wickedly Good Comes This Way","A delightful onion of story, character and motive reveal. Amazing actors playing off each other like a fine Bach musical movement with Reece Witherspoon, Jennifer Anniston and Billy Crudup. Just to watch the unfolding, both subtle and explosive between these three, is worth the watch.It takes on the meetoo situation in a very balanced way. I am fully aware of how much agenda there is in Hollywood, usually left leaning politically, but also often hysterically too far left regarding any other issue (racism, sexism, capitalism etc), this program is not guilty of picking sides. It beautifully portrays the deadly crossing of lines and perception of what sexual abuse is. Can't say I have ever seen sexual exploitation portrayed so well, so subtly. All the power plays and players, both male and female, feeding into the problem, without the histrionics and manipulation of feminism turning everybody off.Near the end of the season, the trip back in time to when Mitch (Steve Carroll) was King of the Morning Show, illustrates how he himself had already been seduced by glory, and spoilt by money and attention, finding his life somehow still wanting, as expressed to his friend (Martin Short). He is almost tempting fate to take it all away. Whilst looking for some meaning or even frivolity to relieve his dissatisfaction, someone else ultimately pays a deadly cost, as he is blind to his own flaws, but can clearly see them in others. Was the power the real reason for his ineptitude as a human being or was he inherently corrupt, or worse still - just a ""normal man""?Other great satisfactions to be found in all the support players as they take part in a very real feeling vibe of the situation of behind the scenes on a mainstream TV channel. I gather many of the makeup and camera people seen on camera are not usually actors but real makeup and camera people, playing themselves.Lovely to see Jennifer Anniston playing such a complex human, she clearly understands all the dynamics. Billy Crudup is a terrific character, a ""magician"", seer or mischievous jester, but a part of the top corporate structure, his power play is 4D chess those above him didn't see coming.Congratulations to the script writers, who don't insult the intelligence of the audience at any point.",6
"Enjoyed season 1. Season 2 is just unpleasant & not enjoyable.","Really enjoyed season 1 but season 2 has lost all the fun and spark of the 1st season. I watch ad how's for the enjoyment but this season is disjointed and I feel like they forgot what made the first season so good.",10
"This one gets it ALL correctly...","This series is a masterpiece in relevance, production, acting, and writing. Extremely good performances by a broad cast. The writing soars, expertly defining the voice of each character's perspective, and delivering insights that are timely, believable, and poignant. Many perspectives and attitudes about sexual exploitation of workers is cast during first few episodes, and throughout the series justifications and rationales are tested, considered, and dispatched. The finale is best savored, with some of greatest performances; particularly Anniston's-unrivaled in her storied career. Jen draws from decades of learning and self-knowledge to portray a highly visible icon's breakdown and tantrum as she demonstrates what female strength and it's many facets, truly is for all to see; strength to tolerate the ""boy's club"" while finding ways to succeed despite it; strength to stand face-to-face with competition and show no signs of it in the veneer; strength to give-up and back-off when the stakes run too high; and strength to change the unfair rules. Besides Anniston, many other amazing performances are delivered: Witherspoon, Polway, Mbatha, Crudup, Carrell and many more...all are nuanced, expertly delivered, which goes back to the writing: Bravo! Excellent! Well done!",6
"Season 1 was 'must-watch' tv, season 2 is almost unwatchable","I loved season 1, which was cast perfectly and well-written. The story lines tied together nicely and I really felt like this could be what morning television productions are like. With all the A-list actors that I love, I was pleasantly surprised that Billy Crudup stole the show for me. I couldn't wait for season 2 to come out given the season 1 cliff-hangers.....Then season 2 happened. -sigh- What a mess. A few characters whom I won't name, are clearly out of their acting league. Story lines that expanded from season 1 have become uninteresting and distracting. The drama is amped up to the point of becoming annoying. The mood swings of main characters shred empathy and credibility. I never thought I could be annoyed with a Jennifer Aniston character, but here you go.I suppose many second seasons struggle with expanding story lines introduced in first seasons. That's expected to a degree. But this feels like it is written by separate teams of writers. No cohesion. Every character has become insufferable. I'll struggle through the rest of the season, with the hope season 3 can recapture the magic. I'm not overly optimistic.",9
"So much more than the sum of its parts","I'd put off watching The Morning Show because I thought it would be a Sorkin-lite style Newsroom series set in a breakfast show and that felt like a tired format with nothing new to say. How utterly wrong I was. Yes it's got the big names. Yes it has clearly had a vast amount of money thrown at it, but that doesn't mean it isn't one of the most gripping tv series I've watched in years. The series builds and builds, the tension cranking up with each episode, literally at points, leaving me breathless. What I found particularly remarkable is that the #metoo movement is seen through so many different perspectives but cleverly the writers allow each perspective to live its own truth, whether or not that is a reliable truth or not, morally right or not, and in doing so it weaves this uncomfortable narrative that exactly reflects the rich and strange tapestry that is the real world. I thought that aspect of it was audacious. To not bring judgement and spoon feed an audience is a brave and risky thing to do. The performances are stellar, it's an ensemble cast with everyone bringing their A game. I devoured this first series in a couple of days and cannot wait for series 2. Can they replicate the clever and nuanced storytelling of this first series, I hope so.",10
"Fantastic!","Finally after being quarantined and watching so many duds .... yeah talking about you Sweet Magnolias, here is an excellent script with excellent performances! Billy Crudup, however, steals the show. He literally lights up the screen everytime he's on. This show is an absolute winner!",9
"It doesn't get better than this!","This is the best series I've seen in a while. Character development and depth is second to none.",8
"Engaging and darker than you think","Undeserved critics reviews. After episode 1, I'm really enjoying this look at an all to common scenario that has been playing out in our news. Solid performances by all the cast and beautifully produced. Aniston, Witherspoon and Carrell do not disappoint.",9
"Peak tv has reached apple","They apparently tapped some of the best in the game for this one. Great start for Apple TV+ and another highlight for viewers who live in the time of peak tv",10
"Amazing, great writing, great acting, good visuals","I just finished the final episode of series 1. It's the best show I ever watched. The plot is perfect, the acting is amazing, the story is delicate and true, and the camera work is phenomenal. Add to this some great music, and some fantastic plot changes and you have a really winner. Amazing.",6
"Should have ended after season 1","This show felt like it was set up to be a one season story and it should have been. Season one was great, energetic and had one of my most satisfying season finals.Season 2 was so pointless and had no real storyline. This season felt completely different, slow paced, monologs that were trying to replicate the writing from season one but came off as pointless rambling, overdramatic moments for the sake of drama.Spoilers: Season one told us that Mitch was an awful horrible person with hardly any redeeming qualities. Season two continues his story away from the other cast and it's boring. They tried to make him a sympathetic character out of no where and it didn't fit season ones story. I understand that the world's not just black and white and maybe Mitch isn't 100% a total bad guy but season one sure told us he was.",10
"Increadibly well written and acted","I was goint to skip this one because I thought it would be some usual caricatural hollywood bs: men bad women good or men good women bad or men bad women good but then men become good or some other variation on these boring tropes.
Oh but no, not at all. What we have here is one of the best shows I've seen in years. Incredibly nuanced without turning away or simplifying the issues at hand: It walks a tight rope and is unapolagetic in it's honesty. It does not pontificate, it doesn't overdramatize, it doesn't take sides because there are no sides, we're all in this together: it just shows. It shows the reality of the double standards, the complicity, the delusions ON ALL SIDES. Men, and women. Both have agendas, both can be predatory, both can be corrupted, both can be opportunistic. Everyone is part of this messed up system. There is no caricature, there's, no black and white, no monster predator. It is way more insiduous, way more complicated, shades of grey that still make you cringe and question all the same without pontificating at you because the moral relativism is sooo obvious. No monster predators, just your every day predators or opportunists, that's what makes it so pernicious. That's what makes the issue so complex. Of course monster predators do exist, but what usually happens in most workplaces is way more complex and convoluted than that.
But don't worry there are no long soliloques about the injustices of this or that. It just shows, bares witness and looking from the outside you'll finally get it if you haven't so far, even if you've never been confronted by this.
If you've ever worked in a corporate environment for more than 10 years you'll have many flashbacks, especially if you've been in a management position. Everyone is complicit in this culture but it still doesn't make it right. How do we change it without making everything awkward and turning us into robots? The show doesn't have an answer but it definitely shows how complex these issues are. If the conversations around the Metoo movement were this honest we might actually be able to move forward instead of just pointing fingers back and forth at an imaginary well defined other side. Hope this show is able to keep up this level of reality.",7
"Series 2 Flopped","Series 1 builds each episode to a great climax, so there was anticipation for Series 2 to continue, but it just never gets going, too much emotion, too many superfluous character side stories, not enough story or new plot lines.Even the actors seem to be waiting for something to happen, but it doesn't, crying and arguing about nothing each episode becomes dull. If there is a third series it will need to improve.",2
"9 for first season, 2 for second season","I don't understand why IMDb still doesn't separate the score for each season (yet a special score for an episode).Billy C was charming and owns the character in the 1st season. Second season, not so much.I am so over the special episodes for Steve Carrell (seriously, why? He has turned into a saint after a year? Even if he does, I really don't care and don't want to watch; a glimpse of news is enough) and Jennifer Aniston (when she's in Italy, when she's sick and got exposed). Feels very forced just to make her significant but the character was just so flaw that what she did and the exposure for her really seems self deserving. In fact, no one in the second episode seems to really matter and make me care.",10
"Very impressed","I am loving this series! 3 episodes in and I think it's amazing - not sure I understand the poor previous reviews - Jennifer Anniston is outstanding and Reese Witherspoon is phenomenal",8
"Great first season. Second season was horrible . Hoping they will get it together for the 3rd","I loved the first season of this show. I didn't remember much about the second season . But I just rewatched it all since they are releasing the 3rd season in September. I am stunned at how bad the second season is in comparison to the first. The build of of tension and suspense in the first season was non existent in the second. Alex Levy's ""breakdown""s worked ok in the first season but by the time she closed the show with her covid induced tantrum / rant . I was so bored I was falling asleep and definitely hated the character. They pretty much messed up every great character in this show .Bradley didn't just have a moment of questioning how to handle who she is and her personal & professional relationships. They turned her into a whiney baby who didn't just fall in love but became wide eyes and too dependent on her new love. Instead of really leaning into that relationship between her and Laura . The writing felt false and contrived . When Bradley busted into the hospital to find her brother at the end. She seemed like a completely different character . Suddenly the truth teller who cared so much about others didn't seem to care about what was happening with covid . Busted into a hospital( illegally and maskless) to find her brother . Who cares who she exposed and who was dying around her. Totally inconsistent with the character in the first season. The only decent storyline was killing off Mitch suddenly & the aftermath of someone's death who was a complicated person. They really should have ended the season with that cliffhanger . Because the last couple of episodes were almost unwatchable . I feel like they teased us with little bits of possible great characters , like Stella , Laura and Sarah Paulsons partner in real life whose name escapes me but is excellent in everything she does. They barely gave us any of the cute yanko Claire romance . Let us think we might see Charlie actually happy, but then turned him back into someone who is far too obsessed with Alex. The Daniel storyline was a disappointment, they could have let us see more into Mia's life . But nope they gave that screen time to Jennifer Anniston doing next to nothing most of the season. Driving in the car in Italy , having breakdowns in her apartment , being sick and delusional with covid , chopping wood in Main. Limping around Vegas threatening journalists. In fact her character barely had any time when she wasn't angry , sick , sad & whiny . They went way too far trying to make Alex a complicated and real person with a dark side and just made her obnoxious . In fact most of the characters were obnoxious this season. Even sweet Corey wasn't fun to watch. I don't blame the actors . I think the writing was just bad the second season. Further complicated by the covid storyline which a lot of shows struggled with . I'm sure they had to get creative on how to film. But it seemed like it would have been better to cut the season short and film the rest after covid. The concept of this show is great. I love the cast. I just hope they can redeem it in season 3.",9
"Brilliant, Intelligent and Authentic","It's been a while since I've watched a TV show that hits every mark like The Morning Show. The acting and writing here is simply superb. It would have been easy to say that one particular actor/actress makes this show what it is, but the truth is there isn't. Every single scene is enthralling and impossible to look away from - I'm especially referring to a scene with Cory and Fred following Alex's announcement of Bradley as her new co-host - you'll know which scene this is when you see it because it's one of the finest pieces of acting I've seen on Billy's part.It's also quite daring that this show goes very close to the 'me too' movement, whilst also being Apple's debut into original productions. You have to respect the show and the writers for this, given how current and ongoing this movement is. It shines a light on the other side of the accusations and the impact this has on Mitch - played wonderfully as expected from talent such as Steve Carell.Overall, I can't praise every aspect of this show enough - go ahead and watch it! Well done Apple!",10
"Brilliant show","This series is absolutely fantastic! The acting and script are simply outstanding and storyline is great. Billy Crudup is an incredibly talented actor, and his performance in every episode is consistently excellent. You just can't help yourself but like him.Jennifer Anniston and Reese W also delivers an amazing performance. Overall all the cast is just perfectly selected.This show keeps you hooked from start to finish and it was impossible to stop watching.Don't understand why the bad reviews. It's an absolute must watch if you enjoy a mix of drama, intrigue, and a glimpse of behind the scenes of morning news.",8
"I take back everything I thought about Jennifer Aniston","Yes Steve Carell and Reese Witherspoon are good actors but Jennifer Aniston surprised me. I am just guessing she just didn't get the roles to show what she could do. And together, this is a great ensemble cast that works well and creates a believable TV show. I love the believable office dialogue where people fling the F-word like it's just another adjective. So much of TV is lickspittle pandering to the PC police that we seldom see and hear real life. I especially enjoy the jabs at all news shows morning or night-time news which spend only 10 to 15 minutes on news then move off to infotainment about movie stars or what passes for celebrity like the Kardashian who offer their audience nothing but filler. Not all is positive as the show does pull some punches and jabs instead of going for the KO.
In episode 3 look for a great conversation between Steve Carell and Martin Short. And Billy Crudup is great as a sort of Iago running full power with seemingly motivationless malignity; However, I suspect we will find out just what his motivation is.",9
"Makes you look hard at our sexual behaviour as a species...","You watch it and you realise the guy committing the crime is clueless as to what he's doing... You realise the victims have no idea what's happening sometimes. It makes you realise that other people do not see reality like you do.It blew my mind... to watch so many ""good people"" play a part on such a dynamic stage of humanity.We have a lot of work to do...This show does well to showcase that.Beautiful script, performances (many awards should be forthcoming), and editing.5 star experience as a season.N",10
"Season 1 GREAT","Season 2:Wining.Just nothing going on.The only thing I like is Mitch's storyline.",7
"TMS","As a big fan of Apple, I'm ashamed to say I've come relatively late to the party in terms of AppleTV+ and I'm really regretting that. Barring one underperforming title (Greyhound) the three shows I've watched have been varying degrees of spectacular. Mythic Quest? Great fun. Ted Lasso? Feel good winner of a comedy that I fell in love with. Now coming to The Morning Show and... Wow. MQ and Lasso bring a lot of fun but TMS is a slow burning show that knows how to hit the audience right in the feels, grab hold and not let go. By the time TMS hits its stride it is not only tremendously prescient, relevant television but it is gripping and heart-stopping. The characters are rich and developed, it's filmed beautifully, it twists and turns in ways that feel entirely earned and realistic and the ending (of season one) is just breathtaking.I love a good slow show that takes its time building to where it wants to be, I do feel like TMS starts a little slower than I'd like, hence the not quite perfect rating, but this really is stunning once it hits its stride. I feel like, with TMS added to the growing list of great content, Apple TV+ is turning into this sleeping dragon of a streaming platform that sooner or later people are going to wake up to and realize how stunningly good it is.All that said, this addresses the #MeToo movement and it doesn't pull punches so if you're worried about being triggered, be warned.",9
"Starts promising and gets boring","Reese Witherspoon and Jennifer Aniston are a promising mix for a series. And in the first two episodes it has everything that promises suspense, a bit of humor and great characters, because the successful Alex Levy and the provincial brat Bradley Jackson couldn't be more opposite. It's obvious that an explosive mixture can result, but what if this expectation is not fulfilled? What if, instead, there is suddenly room for clichéd private problems and the actual subject matter, namely the production of a morning show, recedes more and more into the background? Then we have the usual dilemma of a series that could soon be forgotten. Even if season 2 is like that, it will probably end up like that, which would be a pity, because this is where possibilities are lost. Unfortunately once again.",6
"Season 2 totally destroys what season 1 has built","Season 1 was, as so many reviews say, kind of interesting, and actually had a decent story and some interesting characters in it. All that was left out in season 2, because apparently all the viewers are expected to donis watch Jennifer Aniston's locked into one position's mouth trying to act out some emotion through here face.... It's ridiculous what actresses and actors do to themselves just to keep looking younger, and the unnatural look it creates is just terrible and ruins the shows and movies their in....",5
"Updated after season 2","The first 3 episodes are pretty much the setup for the show.Where it takes us from here remains to be seen, as episode 4 (presumably) is where the show starts to find its permanent form, and the characters start to develop, now that all the pieces are put in place.It is clearly going to become a very story driven show, so whether it becomes a 10 or a 5, will be all about the story, and that is still an unknown quantity.The cast is fantastic, albeit so far a little type cast, the overall production quality top notch, so at this point, based off the first 3 episodes, I give it a hopeful 8...... the hope being that it will become similar, to the excellent and much too short lived ""The Newsroom"".As opposed to the completely ridiculous ""See"", The Morning Show can actually become a hit for Apple.Bring on the story.Edit:Having just completed watching the Season 1 Finale, I am now calling this show an unmitigated hit, and amending my score to a 10.If this is handled right, it could be the ""TV land West Wing"", that ""The Newsroom"" never got a fair chance to be.Every single character on the show has developed beautifully, on uneven arcs that come together perfectly in the season finale, while the general story has very elegantly acted, as the vehicle for the development throughout the season.Great story, great production quality, great acting, great score, etc.I'm calling it now: Best new TV drama of 2019.Edit2:During season 2, I kind of felt the show was going a bit off the boil, getting a bit stagnant, and the main characters started to engage with each other less and less, and instead live in their own separate storylines, which annoyed me a bit, since the season 1 chemistry was so great, and the show was starting to feel disjointed.That is, until I had watched the season 2 finale.HOLY CRAP.No spoilers - but depending on the outcome of the final scene, to be revealed in season 3, the show is absolutely back on track, with the season finale possibly being one of the most riveting of any TV show, in recent memory.I will still be watching in season 3.",10
"Went from excellent to boring to excellent again!","The first season was intriguing, fast paced, and with interesting characters. I binged it in a matter of days. I loved the dynamic amongst the main male and female characters as well as the dichotomy between the veterans and the newbie. Reese Witherspoon's innocence was captivating. Great season one finale, so naturally I was excited about season two....
The first four episodes of season 2 dragged.....but I'm glad I persevered. The second season really picked up with the 5th episode. They dealt with some difficult topics that other shows shy away from for fear of antagonizing the viewers. The Morning Show deals with them head on! Bravo!Then, on a totally different level, I do not understand what Jennifer Aniston has done to her once beautiful face. It's not age. It's the excessive use of botox and fillers that has ruined her face. She looks perpetually swollen and startled! What's wrong with wrinkles? They're beautiful.One caveat: If her face is swollen due to medically needed oral steroids, then I understand. Otherwise, a naturally aging face is very graceful.",9
"Well written, accurate portrayal of metoo situations","Apart from the fairly realistic corporate power exchange (backstabbing and creating useful alliances etc), the violated female victim situation is incredibly well portrayed- such a highly delicate and complex emotional experience, both explored in the views of the victim and the perpetrator. Amazing and well done. Men who don't understand why women don't ""fight harder"" for help, watch this.",10
"Season 2, Episode 7","This pitiful series did an immediate nose-dive at Season 2, Episode 7. What a bunch of narcissistic crap. It was a bit fun at the beginning of the series with reese Witherspoon but it just digs itself into a hole. Garbage.",10
"Well Done Apple!","The show captures the the complexities of such an intensely debated topic as the MeToo movement with extreme sensitivity & provide different thought provoking perspectives. I was hooked from the very first episode and the season finale blew me away. Excellent production, superb acting by main & supporting cast & a powerful script.
A must watch",9
"Excellent dialogue, writing + acting!","Excellent dialogue, writing + acting!TV is SOOO good the last several years ... the Newsroom was AMAZING - it has been missed.But this - this is fresh and new and Steve Carell's character (Mitch) is absolutely daunting.",10
"The Morning Show is excellent!","The Morning Show is a brave story about the narrative of the abuser and the victims, each one's truth and in conclusion, how we all been complices of the culture of abuse. Excellent portrayal of the complexity of workplace sexual abuse. Not all sexual trauma is overtly aggressive and violent (which is often portrayed in films). All awful of course. But this show really highlights the implications of power. Simply impressive, I can't wait for the next chapter! And ... OMG! I love Jennifer Aniston and especially Reese Witherspoon who is still so wonderful (Jennifer gets the best role in her career). Thanks Apple TV !",6
