Content,Platform,Title,Rating
"The back half of the season is consistently compelling, and sometimes downright thrilling, especially any time its characters simply put their heads together to solve the three-body problem at hand.",Rotten Tomatoes,,
"Exploring that horrific human past of madness, violence, and cowardly compliance is the best part of Netflix’s 3 Body Problem.",Rotten Tomatoes,,
"The most eagerly anticipated TV series of the year is here, from the brains behind Game of Thrones and their mesmerizing mind games bring a Chinese literary classic about alien invasion to life. You'll have to work hard to untangle its mysteries. Do it.",Rotten Tomatoes,,
"A high-octane, multi-level AI adventure, as outrageous and stunning as the plots all interconnected to the tiniest details; so it sweeps and hides, crammed with anxiety-provoking prose warning of end times.",Rotten Tomatoes,,
"The existential crisis explored in the series, and the possible human responses to it, feel more relevant than ever after living through a global pandemic. It's terrifying. And very good TV.",Rotten Tomatoes,,
"3 Body Problem is as reflective and dangerous as a shard of broken glass, that you can't help but touch because of its possibilities.",Rotten Tomatoes,,
"3 Body Problem works because the characters are set up well in the first episode, and the mystery at its center is truly a mystery, not just pieces of missing information that the writers are keeping from frustrated viewers.",Rotten Tomatoes,,
"Once the stakes for the human race and Earth’s eventual invaders become clear, 3 Body Problem develops an “Oxford Five” problem...",Rotten Tomatoes,,
Netflix’s new sci-fi series from the makers of Game of Thrones doesn’t just honor Liu Cixin’s remarkable books—it improves on them.,Rotten Tomatoes,,
"I love these books, and it appears this show understands why: the dead seriousness but also the absurdity, the abstruseness but also the silliness, the hardcore science but also the prestige-TV-ain’t-dead-yet art.",Rotten Tomatoes,,
"What you also need to know, though, is it’s brilliant. Yes, it’s complicated. Yes, it’s chaotic. No, you will not always understand what is going on... But the vision of it!",Rotten Tomatoes,,
"Whatever captivated American readers when the novel was first translated into English in 2014 is barely evident in this ungainly, forgettable TV series.",Rotten Tomatoes,,
"Just when it seems there’s nothing original to watch, “3 Body Problem” falls from the skies.",Rotten Tomatoes,,
"Don’t be deceived by the interplanetary intrigue: humanity’s worth, and what we deserve for our collective failings, are at the heart of this deftly capable science-fiction puzzle-box.",Rotten Tomatoes,,
"This is a story about sacrifice and the ability to be concerned about more than the moment you’re in, and when faced with these kinds of large, ruminative dilemmas... yet somehow 3 Body Problem does not, in any way, feel urgent.",Rotten Tomatoes,,
"Sometimes the universe winks at us and we can’t figure out if that’s a provocation, a flirtation, or the side effects of some strong smoke. This adaptation makes finding out engrossing, if not altogether simple. What theory worth parsing is?",Rotten Tomatoes,,
"When a book is deemed “unadaptable”, it is almost interpreted as a challenge. Of course, no book is really unadaptable; the problem is that rendering it on screen will simply be too dull, or confusing. 3 Body Problem is somehow both.",Rotten Tomatoes,,
This show proceeds with such a steady hand as to remain highly watchable throughout what amounts to this extended overture.,Rotten Tomatoes,,
3 Body Problem also falls into the trap of alienating its emotional depth from its own physics musings.,Rotten Tomatoes,,
"Benioff and Weiss have been slammed for their unsatisfying final season of Game of Thrones, but, so far, 3 Body Problem reestablishes their reputations as top-notch adaptors.",Rotten Tomatoes,,
"If your favourite kind of screen sci-fi is the thoughtful variety represented by films such as Contact and Arrival, you’ll be over the moon for much of the series.",Rotten Tomatoes,,
"Conspiracies, mysterious cabals, VR games, religious cults, issues spanning modern history, and science. It is a lot, but the plotting is excellent and the series is challenging enough to make it interesting, but easy enough to follow.",Rotten Tomatoes,,
"The rare series that consistently surprises, making me (mostly) forget my worries during initial episodes that this could be another “Lost,” a show with great ideas but no concrete story path.",Rotten Tomatoes,,
"This to me was a solid philosophical sci-fi story that is a genre bending experience that combined science, technology, humanity, scope and scale but doesn't do it all equally and effectively, due to its lackluster character drama!",Rotten Tomatoes,,
"It’s the equivalent of a cheap house flip, gutting a beautiful midcentury structure and redoing every room in shades of millennial gray.",Rotten Tomatoes,,
"Benioff, Weiss and Woo took a book trilogy known more for its thought experiments in philosophy and theoretical physics than its plot and made a solid bit of hard sci-fi that is (mostly) accessible to more casual fans of the genre.",Rotten Tomatoes,,
"There is plenty to like about 3 Body Problem. It presents thorny physics in a tangible, entertaining way, particularly in its VR-enabled flights of fancy to ancient China and Tudor England.",Rotten Tomatoes,,
"Nothing about this series is small. It’s visually lavish, narratively rich and more than compelling enough to overcome its moments of coldness",Rotten Tomatoes,,
"A collection of mysteries that, while rarely boring, is too untidy to consistently grip the imagination.",Rotten Tomatoes,,
"It won’t be Netflix’s answer to Game of Thrones. But Benioff, Weiss, and their collaborator Alexander Woo have undoubtedly proved yet again that there is no such thing as an unfilmable novel.",Rotten Tomatoes,,
"3 Body Problem suffers from being overly stylish and lacking substance. You can easily be reeled into a world visually, but if there isn’t anything worth sticking around for, you will check out.",Rotten Tomatoes,,
"The 3 Body Problem goes from the serious to the ridiculous and banal, from being a good example of the genre to being pretentious, didactic, and broad. The result, therefore, is as contradictory as it is uneven. [Full review in Spanish]",Rotten Tomatoes,,
"The parts have been originally arranged, with fresh trimmings, good characters and some clever use of theoretical physics; “3 Body Problem” doesn’t feel like a retread.",Rotten Tomatoes,,
Most of 3 Body Problem’s adaptation choices just feel like failed attempts to spice things up.,Rotten Tomatoes,,
"With 3 Body Problem, the showrunners have created a truly remarkable and hugely ambitious piece of television that will have viewers hanging onto every plotline, hungry to find out more about its hidden mysteries and meanings.",Rotten Tomatoes,,
"If one thing holds it back from greatness, it’s the characters, who could have used some alien technology to lend them an extra dimension or two. But the series’s scale and mind-bending turns may leave you too starry-eyed to notice.",Rotten Tomatoes,,
The story's themes of collective dependence within humanity and the value of loyal friendships work to create a narrative that is memorable and captivating. The biggest hesitation with this show is whether it will be allowed to continue the story.,Rotten Tomatoes,,
"It’s well paced, generally compelling, and completely committed to being the most TV version of itself it can possibly be. If only more Netflix dramas did the same.",Rotten Tomatoes,,
"It may wear the garb of prestige television, but underneath it’s just a nerdy science-fiction show, with a healthy emphasis on the science.",Rotten Tomatoes,,
"... A tired, heavy, slow and drawn-out resolution that is finally expressed in three long yawns. [Full review in Spanish]",Rotten Tomatoes,,
"Characters saddled with explaining abstruse mechanical theories, meanwhile, never really seem to have more than one dimension themselves. Still, there’s sufficient intrigue and splashy production to keep enough of us watching...",Rotten Tomatoes,,
The expansive spectacle of the “3 Body Problem” and the awe it occasionally produces is often hindered by its inherently middling human melodramas and tortuous plotting,Rotten Tomatoes,,
"Netflix's 3 Body Problem succeeds in creating an expansive world filled with intriguing mysteries, delivering both personal moments and spectacle.",Rotten Tomatoes,,
"3 Body Problem is a stunningly ambitious adaptation of an unwieldy science fiction text, bringing both humanity and existential terror to its otherwise analytical approach.",Rotten Tomatoes,,
"The themes are fascinating, the ideas fresh, and with a bit of fine-tuning, it could be great; here’s hoping Netflix bucks the trend and renews it for a second season.",Rotten Tomatoes,,
"The series inherits some terrific sci-fi horror concepts from the best selling novels and adds a warm character drama. It helps if you have an interest in physics and engineering, but it works.",Rotten Tomatoes,,
"The background material is weak, and the new ideas are virtually all depressingly familiar.",Rotten Tomatoes,,
"3 Body Problem reworks Cixin Liu’s mammoth book trilogy for a wider audience to great success, though it may annoy some viewers with its far-out sci-fi and speed-of-light plot machinations.",Rotten Tomatoes,,
The Netflix adaptation of 3 Body Problem sets a new standard for what sci-fi is capable of.,Rotten Tomatoes,,
"3 Body Problem functions perfectly well on a character level, so if you're happy to accept a healthy dose of scientific malarkey, then you're golden.",Rotten Tomatoes,,
"3 Body Problem moves at a brisk, often breakneck speed to convey a sense of spectacle and awe. But in the process, it sacrifices the thing that made Three-Body so singular in the first place: the science.",Rotten Tomatoes,,
"3 Body Problem just doesn’t know what to do with its terrestrial cast of characters, and the globalization of its cast dulls what was otherwise a distinctly Chinese perspective with the original novel.",Rotten Tomatoes,,
"... Benioff, Weiss, and Woo remind us in 3 Body Problem how good an adaptation can be when it’s done properly — and might have just stumbled on making Netflix’s next masterpiece.",Rotten Tomatoes,,
"Despite some clunky characterization, the series is an ambitious and inventive piece of sci-fi.",Rotten Tomatoes,,
"It really helps that Netflix didn’t skimp on 3 Body Problem, which, for all its character drama, goes big when it needs to go big.",Rotten Tomatoes,,
"3 Body Problem may fail to inspire true awe, but there’s enough fun, shock, and horror to keep sci-fi fans engaged.",Rotten Tomatoes,,
"A hugely ambitious adaptation of a hugely ambitious book. As an opening season it feels like set-up for something bigger — but what’s here is thoroughly impressive, giant-scale television.",Rotten Tomatoes,,
"A glorious, gaudy galactic mess. Problems? Loads of them. But marvel at the ambition.",Rotten Tomatoes,,
"Benioff, Weiss, and Woo have been remarkably successful at transforming Liu’s work into a gripping sci-fi thriller, without either dumbing it down or boring viewers with hours’ worth of whiteboard lectures.",Rotten Tomatoes,,
"It’s rare to see this kind of hard sci-fi on-screen, with the financial foundations in place to fully realize what is a complex and brazen vision of our world.",Rotten Tomatoes,,
"The series isn’t devoid of good stuff. It’s just flat, with decorative touches, which extends to the characterizations and acting.",Rotten Tomatoes,,
"It's grounded in a solid sci-fi premise, but continually weighed down by flat, often two-dimensional characters and a weak script.",Rotten Tomatoes,,
"3 Body Problem certainly has its high points, but the convolution of plot manages to damper any goodwill the episodes conjure up with the audience.",Rotten Tomatoes,,
"It’s an absolute page-turner that confidently switches modes and genres, acting as a strong comeback for Game of Thrones showrunners David Benioff and D. B. Weiss.",Rotten Tomatoes,,
"What really makes the series work is the characters, and although they may be slow to grow on you, you’ll be rooting for them by the end.",Rotten Tomatoes,,
"Even with these various smart deviations from the source material, the show’s first season is middling drama at best. And while the interplanetary spectacle is meant to be grand, little of it comes close to replicating the awe [from Game of Thrones].",Rotten Tomatoes,,
"At the same time that “3 Body Problem” grounds its story in a crew of curious young people, the show also imbues a sense of geeky grandeur.",Rotten Tomatoes,,
The fact is 3 Body Problem is pedestrian at best when it should be epic — and that’s a problem.,Rotten Tomatoes,,
“3 Body Problem” offers little personal intrigue to balance its increasingly unimpressive attempts at spectacle.,Rotten Tomatoes,,
"3 Body Problem spectacular world building sparks and excites the mind, body, and soul.",Rotten Tomatoes,,
"While not a slavishly faithful adaptation, the show captures the spirit of Liu’s writing, while setting in motion the unfeasibly grandiose space epic that is still to come.",Rotten Tomatoes,,
"I went into this completely blind--never read the books or saw the Chinese version, and only knew it was a sci-fi show by the guys from GoT. So I had no expectations. I thought it was good, but something was missing that kept it from being great.The production was good, but not inspiring. The acting was good, but I never really felt emotionally connected to the characters, although I came close with Jin. It would have been nice to have more background and world building to become more vested in the story and characters.The plot itself was fine enough, but events seemed to unfold quite quickly without ever showing any effort. A lot happened, but it lacked depth. I thought it was good enough to watch another season, but it didn't really knock my socks off at any point. Good enough, I suppose.",IMDB,"Good, but not great",7.0
3 Body Problem is here and it did not disappoint. First of all I've never read any of the books so I have nothing to compare it to or be disappointed about. It looks like most people do like it but there are those who won't because it's not exactly like the book but it's hard to adapt a good book to a show or movie. As long as it's still entertaining then who cares? Just take it for what it is and that's a really good sci-fi series. They've been talking about and hyping this show up for years now. The creators of Game of Thrones (David Benioff and D. B. Weiss) are the creators of this show and that brings a lot of expectations with it. I'm glad they released it on Netflix so we get all the episodes at one time because I couldn't stop watching. I'm glad they already renewed for two more seasons so they can finish the story because everyone knows there's nothing more frustrating than a show getting cancelled before they conclude the story. They now know they have 2 more full seasons to finish it. Can't wait!,IMDB,Hooked me from the start,8.0
At the time of this writing the show has a 7.9 rating. I suspect in time this will go down to around 7.2 although personally I think it deserves a 6.Too harsh? I don't think so. While I didn't hate the show and am not one of those people who need or expect all adaptations to adhere strictly to the source material I think if you are going to make changes in your adaptation they should make sense and make some sort of improvement. This show failed on both scores. The original books by author Cixin Liu were hard sci-fi and brilliant in scope and imagination. The adaptation dumbs down the source material for TV and makes changes to appease the political viewers. None of this is an improvement. All it achieves is it takes everything that made the books so different from everything else out there and turns it into the same kind of Hollywood tripe that's a dime a dozen these days.,IMDB,Mediocre Body Problem,6.0
"The story is decent but whoever wrote the characters and most of the dialogue needs to goJin and Auggie are simply unsufferable. Auggie seems unable to go 10 lines without swearing. They always seem on the verge of throwing a tantrum. Like it's literally making it difficult to watch because I feel attacked through the screen. I know this is the idea that some writers have about ""strong women"" but I don't think it's working. Also why do they react to everything by getting mad lmao aren't they scientists?Enough has been said about Will's only character traits being that he has cancer and he can't propose to Jin. He's unsufferableWade and the detective are so stereotyped that it becomes laughable at times. Sometimes Wade says ""cool stuff"" that doesn't even make senseI'm sorry because the story is good but so much revolved around these unsufferable characters, and I suppose it will going forward since we aren't going to see the Aliens for a couple hundred years.",IMDB,Who wrote these characters and dialogue?,7.0
"First two episodes are confusing but in an good way. Show builds op strong for me. Episode 3, 4 and 5 very strong.But then, from like episode 5 the focus shifts to the most annoying character i have witnessed in a long time: Auggie.I dont know if it is a bad actress or a good one and Auggie is ment to be this annoying but is a very hard watch.At some point you just want to skip every scene she is in. I have still one episode left and my god i hope the character is written off.So now I have 98 words left to typ but i just wanded to express my hate for this character nothing more. Finished.",IMDB,A poorly written character (Auggie) ruins it for the rest,7.0
"I just can't understand how this show got such an high score, I can tell you right away that it doesn't deserve it at all.This is from someone who hasn't read the books yet so I am reviewing it as a tv show only, and not how well it adapts the books.I love the base idea, it touches science, religion, the basics of human nature, it has so many opportunities for a great show... BUT.. jesus, this was so badly executed, it really shows how good those two GoT ""creators"" are, I have a feeling that with these books they either didn't have all of the world background and details to use or they just completely ignored them, while with GoT they had most of the work done for them.This series to me is very similar to Manifest (which was another awful show), the camera work, the cgi, the characters act almost the same way.Talking about the characters none of these make any sense, none of these are believable in any way, the cast was completely wrong apart from Liam Cunningham but even his role seems so badly written that it is painful to watch.The scientist characters seem to be acting for a soap opera, we have so many great examples of great scientists in the world, great communicators and rational, why not just take ideas from them... none of the ones in the show make any sense, they all look like models trying to pass for scientists, and for some reason they are the only ones in the world that can solve all the problems, they are boring, over dramatic and most aren't even interested in the problem... We are talking about communicating with aliens, we are talking about humanity demise and they just act it like it is Covid or whatever...Now, characters are definitely the worse, but not the only bed thing, some ideas and events in the show just make no sense at all, not because they are complex ideas but because they are so dumb, let me list a couple:
aliens are in a way already on earth and can literally see and do anything.. which begs the question why don't they just destroy everything alreadyscientists and their work was already being killed before aliens even learn about humans being liars, but they use that scene as the big shift in human alien relationsthe old chinese lady gets a message from the aliens when the first contact happens that warns her about what would really happen if she responds, she still responds... Later on she acts all surprised when aliens turn against us,... You really can't make this up !the only way to stop a boat passing a canal is by cutting it into pieces with some amazing new material the model scientist created all by herself ... This is so painful to even write..the world is doomed and the only people working to save humanity are a couple of british scientists in an old mansionthat tatiana character has superpowers? What the hell? Is that given by the aliens somehow but never explained?There are much more things that make no sense in this show, literally Manifest, the divine consciousness is the San-ti, OMG !!",IMDB,"Not good, boring and badly written",8.0
"This adaptation is largely faithful to the book, if your definition of faithful is ""major events that happened in the books also happened in this show"". The whole thing is rushed, and there is no time to let the events sink in. The first episode already covers half the first book. The mystery of what's behind the scientists' deaths and the thrill of the main characters uncovering the culprit are missing entirely from the show. The divide between the two branches of the three body organization is completely omitted. And where are the pendulums? The hard science that makes the source material so appealing is also ""less hard"" here. Two episodes in, we've already arrived at the famous ""Do Not Answer"" scene and know it's aliens. Despite having only 8 episodes, episodes 6 and 7 are nonsense fillers and by episode 8 we're already at book 2.I don't mind the screenwriters adapting characters to a more international audience, splitting and combining some main characters so they can interact with each other because you can't really have an inner monologue like in a fiction. But it makes zero sense that ""everybody knows everybody"" or that some early- to mid-thirties are heads of research centers. The epic feeling is gone because the show is made too UK-centric. Different genders and ethnic groups are ""represented"", but somehow they all have a British (Oxford) upbringing. Major world powers including the US, Japan, continental Europe, and Chinese-Chinese (not British Chinese) are not represented at all. This work is supposed to be an epic that spans the globe, and spans centuries. Yet watching the ""Oxford Five""'s relationship issues, it feels like teenage drama instead.While I might sound negative, this work is miles ahead of whatever's crapping out of Disney/Marvel/SW these days. The CGI is fantastic, especially when it comes to visualizing the VR world. The C******* Revolution backstory is meticulously filmed, and the entire Chinese storyline, however short it is, is spoken in Chinese. I am delighted to see Chinese Sci-Fi being adapted for Western audience, hence +1 star for representation. Nonetheless, as with most shows these days though, please hire more competent writers.",IMDB,Mostly faithful but rushed,6.0
"The Fermi Paradox mashed up with the Cultural Revolution? Benedict Wong? What's not to like? And for the first three or so episodes 3 Body Problem meets those expectations. Strange things are happening in 2024. All the physics we've ever known seems to be wrong. What's going on?Unfortunately, once the characters have established the quandary they're in, the rest of the series flatlines as they try to figure out what to do.I stuck with it, getting increasingly exasperated, expecting everything to be resolved after 8 episodes. Spoiler alert: nothing gets resolved, and the makers appear set to spin out 3 Body Problem into as many seasons as they can before reaching an ending that one does hope they've given some thought to. Me? I won't be watching any further seasons. As season one huffs and puffs into its second half, key characters fail to develop, and it's remarkable how little each episode moves the plot forward in any engaging sense.8/10 for establishing the quandary; 4/10 for the attempt to solve it - although there *is* one terrific scene that plays out in the Panama Canal.Benedict Wong, alone among the main characters, shines throughout: his entertainingly droll performance makes him one of the only interesting characters in this otherwise disappointing series.",IMDB,"Starts well, then it's all downhill",3.0
"What did you expect from Dumb & Dumber (murderers of GoT) ?This show can seem smart at first, but the more you think about it, the more you'll find it profoundly stupid.Those aliens make no sense at all. They were already slaughtering scientists before getting mad at Evans because of a stupid metaphor. By the way, they are using metaphors in their stupid game !Also, these aliens talk way too much. It's like in a video game, when you play badly on purpose, because you're bored and you want to lose.They're overpowered but they do nothing. They could wipe us out in a minute, but for some reason, they don't.There are so many stupid scenes in this show. For example, the infamous ship scene. They want us to believe there was no other way to do it. So stupid...
Do you remember this James Bond movie that was mocked because Denise Richards played a nuclear scientist ? This is the same here. Of course our supermodel Eiza Gonzalez is a head researcher in nanotechnology. Of course she is.Also, it feels like the whole fate of the human civilization revolves around a group of young partygoers. They want us to believe these people are the top scientists on Earth, but they keep behaving like stupid teenagers. No one cares about their love stories.Seriously, don't bother...",IMDB,Much more stupid than you think,8.0
"I've been looking forward to 3 Body Problem for what feels like a decade. I just binged the entire first season in two days and it's everything I hoped it would be and more. This series is adapted from the best selling novels of the same name. It's a show that will pull you into their world and not let go. There are so many mysteries that will keep your mind going the entire time. You can tell they put a lot of money into this show too because the visuals are absolutely beautiful. The only thing that could've been better was character development. I stole this quote from a review I read but I couldn't agree more, ""3 Body Problem sets a new standard for what sci-fi is capable of."" I'm already looking forward to next season. It can't come fast enough.",IMDB,Next season can't come fast enough,6.0
"I liked the contemplative nature of this show, but it quite quickly degraded into silliness, and disappointingly so, because it started off pretty well.We need shows like this one promised to be, but the clues were there right from the start with the annoying constantly smoking cast. Brought to you by the same people who scuttled 7 years of game of thrones with a half ar$ed 8th series. Interestingly this series was 8 episodes long but the show runners killed the show well before the final episode, so I guess that's progress for them, condensing 8 years of disappointment down into an eight episode arc.I don't know what to think after finishing this first series. It was tantalising in its premise, but so disappointing in its execution.",IMDB,"Great, then disappointing, then very disappointing.",6.0
"A series with lots of strengths a solid performances. Sticks reasonably close to the source material, not too significantly dumbed diwn. It is however utterly let down by some simply shocking casting choices. Most damagingly, Eiza González does not appear in a scene without acting as tho in a photoshoot for a fashion magazine cover. In every shot, even ones where she is portrayed as just waking up after a night binge drinking, she has supermodel, 2 hours worth of make up. The other characters continually comment ""you are beautiful"" to her, and she strikes another pose.This shatters any willing suspicion of disbelief and spoils what otherwise would have been a decent series.Watch the Chinese version instead. Sorry.",IMDB,Spoiled by Hollywood style casting,8.0
"The 3 body problem is an absolutely engrossing genre mystery with compelling characters, human drama and even a few laughs.I binged this entire first season and I can't wait for the next. The premise does stretch the plausibility of the physics, but does not eliminate any suspension of disbelief. The execution of this show is top notch, the production, writing and the acting.There are themes here that not everyone will agree with, a certain misanthropy underlying the show, but you can easily enjoy the show without feeling like these ideas are being shoved down your throat like many shows these days do.If you are fan of genre fiction, and you haven't watched this already, you are missing out!",IMDB,Do it,6.0
