"Title","Content","Rating"
"Love it!","Visually stunning, great stories, so engaging. Just what I needed. Kudos to Julian Fellows on another hit. In spite of some users on IMDB not liking the show, it's a hit!!! Like Mrs. Russell, it will prevail.",10
"TERRIBLE casting and directing","First of all, the main character Marion Brooks is supposed to be 17/18. I. Real life this actress is 30 and looks it. Why not cast a genuine ingenue like Bridgerton did, and make it more credible?! Louise Jacobson is a pretty girl but she is not a radiant 18 year old carrying the storyline here.Secondly the dialog is ok but the delivery is very modern. Awful. No subtlety or nuance or modulated voices. OMG where is Maggie Smith when you need her?!Lastly, the characters thus far are caricatures of their historical referents. The ruthless
mogul, the intractable snobbery, the guileless out-of-towner, etcOverall, as compelling the sets and costumes, it is fighting against the flat delivery of dialog and predictable plot thus far.",6
"Great sets, terrible writing, wooden acting.","Downton Abbey had talented actors and well-crafted scripts. The Gilded Age has neither of those. I kept waiting for it to hit its groove, but that hasn't happened yet. The characters are just not interesting, the actors have no emotion or attachment to the story line. The dialogue is stilled and sometimes moronic. It does have great sets and special effects, but not nearly good enough to offset the horror show that is the script.",2
"Great acting, nice story line, but historically implausible","1) the show is beautifully shot2) great acting3) nice story lines4) the crux of the dramatic conflict is, a class conflict between the ladies of old line New York, between the ladies of new money New York.5) This is an excellent adaptation of actual NYC history;a) the Dutch families, not the Mayflower families, had antecedence in NYC, notably the Roosevelts;b) New Money had many adherents and advancements socially & otherwise in 1876-1929 more than any other period in time-the Morgans, Rockefellers, et al. All were new money.C) Pedigree never trumped money, especially in the ""Gilded Age,"" which was named for the enormous fortunes made in banking, railroads, Gold, shipping & other endeavors not taken up by the old established families.However, these are but small quips.Consider the minor roles occupied by such great actors as;1) Michael Cerveris (September in Fringe)2) Taissa Farmiga, excellent here as Gladys Russell3) Jeanne Tripplehorn, as Sylvia Chamberlain, excels4) Cynthia Nixon, as Ada Brook is terrific.I could go on and on, but this is one terrific show.This show concentrates much more on social status, social circles and the women of the Gilden Age than upon economics, labor, or the general corruption of the Gilden Age.To enjoy this show, one must suspend the historical-dialectic judgments and focus on the plot as presented---and then you enjoy it!It's a great show, enjoy!",10
"Amazing show with enticing storylines","The Gilded Age is a phenomenal drama with a wonderful cast. The setting of NYC in the Gilded Age touches on a bygone era that is well portrayed for all social classes during that time. The cast are all superb. The characters are rich and interesting from the upper class to the working class. I love the interactions between sisters, Ada and Agnes. The injection of historical events of the time into the show allows for viewers to see what the world around these characters was like during this time period. The attention to detail in architecture and the clothing is one of the best things about the show. The season 2 season finale was phenomenal and I was smiling the entire time I watched it! Hoping for a season 3!",9
"Still Watching and Waiting for More","Always takes a while for a series like this to introduce the characters and core structure and that is true here. What matters of course is if the audience is hooked enough to look forward to the next episode and this viewer certainly is.",9
"From a Girl Who Typically Prefers Sci-Fi","This show is absolutely amazing! It draws you in from the very first few seconds and holds your attention throughout. You find yourself so caught up in the narrative that when the episode is over, you wonder how that's possible because it feels like it just started.If you like the older period pieces, and you like watching how the upper class lived around the turn of the century (early 1900s), you're in for a treat with The Gilded Age. Not only does this show have a stellar cast with actors who came from the theater (which gives them an edge with this type of drama because it sets the tone that makes this show so riveting), but you can actually feel the tension between the ""new"" and the ""old"" New York money.Treat yourself and watch this series!! You won't be disappointed!",10
"A Study in Class","I found the first episode of The Gilded Age very crisp and fresh. I admit that I have not been a big fan of Cynthia Nixon in the past, but her performance in this series is exquisite and truly shows an acting ability that I haven't seen in her previous roles.The casting is very good and with so many likeable characters, this show is sure to delight those of you who enjoy period dramas.",10
"C'mon Julian, get it together!","I love Downton Abbey so much that during shut down I binged it for a second and third time. I'm also a huge fan of Christine Baranski, so I was really looking forward to this new series. I haven't been happy with it and after the second episode I realized why. There are few endearing characters like there are in Downton Abbey, and Christine Baranski plays a relentlessly cruel, obnoxious snob, displaying almost none of the delicious wit that she usually shows. The other characters are poorly fleshed out so far. All this is the fault of the writer; I don't know what he was thinking beyond laurel-resting. I'm going to give it a few more chances, but if something doesn't improve it will never make it to season two, at least for me.",6
"Entertaining Show","I am enjoying The Gilded Age and will continue to view weekly. We are still in the process of being introduced getting to know the characters. Julian Fellow's knows how to weave a tale so I suspect the story will get more complex as the series unfolds.",10
"One of my favorite genres is the ""Costume Period Piece"" !","One of my favorite genres is the ""Costume Period Piece"" .'Downton Abbey' creator Julian Fellowes turns his eye from British opulence to New York City circa 1882 for a look at America's empire-on-the-rise. The Gilded Age is set in and around New York during the 1880s. The title refers to this time of prosperity in the United States thanks to the industrial boom, and the show will follow the comings and goings of the upper echelons of New York's high society during that time.At the heart of new historical drama, The Gilded Age, is breakout star Louisa Jacobson. The 30-year-old newcomer plays Marian Brook in the HBO series alongside Carrie Coon, Cynthia Nixon and Christine Baranski.For Jacobson, whose mother just so happens to be Meryl Streep, the role marks her series debut. Jacobson, who uses her middle name to distinguish herself from her famous family. Prior to making her debut, the youngest of Streep's four children studied psychology at Vassar College before attending British American Drama Academy in Oxford and later earning a Master of Fine Arts in Acting from the Yale School of Drama. She is a delight to watch !Denee' Benton is superb in her role, a middle-class, 19th-century determined young woman and a gifted writer living in New York City in the 1880s.Nowhere near the depth and feeling of Downton Abbey lets face it! Downton was lighting in a bottle ( Mr. Pamuk dying of a heart attack in series one in Lady Mary's bed) that was pure T. V. gold ! But Fellowes gives you smartly written characters, filmed in lavish sets and costumes, an able cast in this Americanized spin on his beloved ""Downton Abbey'. If you like this sort of programming 'The Gilded Age' is perfectly addicting .The time period is a fabulous frame for character-driven stories of social maneuvering. Season two can not come soon enough.",7
"Great cast","This show depicts a lifestyle from a world away. The sets and the costumes are incredible. The storyline appears to be going in several interesting directions. Watch the show and see for yourself. Disregard the ignorant views of those who admit that they haven't watched it and won't!",9
"Excellent first episode","The sets and the clothes are tremendous. The style of the show is very Julian Fellowes; they are trying to hit all the familiar notes. It isn't fair to judge any show in this era after just one episode, especially one with so many characters and potential moving parts but I would say it is off to a great start. The first episode was a bit stiff as it was full of introductions and context setting. Downtown Abbey also took time to get beyond being a stock British costume drama.People who loved Downton and are complaining about stiff acting and dialogue might reflect on the fact that many of those characters we grew to love were pretty wooden in the beginning. Bates, Branson, Edith, Carson... we're pretty lame and took time to develop. Give it time.And I love the reviews complaining that they don't like these elitist rich people with snotty accents. Here's a tip: it's called The Gilded Age....",9
"Simply Enchanting","Comparisons are odious and those comparing this stunning period drama to Downton Abbey have lost the plot.There is no comparison to be made. One is set in England and the other is set in New York. One is about one family and the other features several households.The Gilded Age is a snapshot of life in life late 1900s and features issues of class, racism, social climbing, and the petty rivalries of the very well-heeled of the day.The cast is stellar, headed by Carrie Coon. Christine Baransky and Cynthia Nixon are splendid in the respective roles of Aunt Agnes and Aunt Ada. I was surprised to learn that the youngest daughter of Meryl Streep makes her debut as the glue that holds the show together in a pivotal role as Marian Short. She acquits herself admirably.The costumes are breathtaking especially those worn by Ms Coon. Those who criticise how clean the streets are need to remember that the exceedingly rich would not live in squalid surrounds.The second season dealt with strikes, scabs, racial prejudice, marriage, death, and the ever-present, snobbery and one-upmanship that the genteel classes had time to indulge in.There is no comparing the two shows. Both are excellent and stand alone. Bravo, Mr. Fellowes for bringing them to life. I loved both seasons and can't wait for season 3.",10
"Stunning, opulent and twisted","This period piece is delightful with opulent sets and costumes! Truly stunning works of art and twisted plots galore. The acting is fabulous! The old money versus new money theme is always a dilemma of the ages.",10
"For lovers of costume period drama","I loved this series and hope a third season will be commissioned. The sets and costumes's are delightfully extravagant and pull you back in time to such opulent living.Good story lines between the upstairs and downstairs, though this is mainly focussed upstairs with new money vs old.Love the characters, fantastic acting with Cynthia Nixon being a standout amongst so many great performances. I will likely watch this again, just so good.I have ready many reviews that compare this to negatively Downtown Abbey, which it is not, it has taken a different more lavish path. But if you enjoy period drama, you are likely to enjoy this.",10
"Not my normal cup of tea but drink it I did","I lean into thrillers, sci-fi, crime/legal dramas etc., but if you told me I'd get pulled into a period drama full New York City ""society"" pomp, catty undercutting, social climbing, and an endlessly deep preponderance of pretentiousness, I would have immediately said: ""You got the wrong guy! That is not not my Hermès bag!""This series is all of those aforementioned things made whole and enjoyable with excellent story and fantastically lovable and despicable personalities sometimes all rolled into a single character.I will pick one of my favorites in the show that blindside me: Cynthia Nixon!!!Her turn as Ada floored me. She played a hard mannered Federal Official in ""Hannibal"" and she was fantastic. Now she plays a lovable aunt and I can't get enough of it... her range is magnificent - she's always been one of my favorites. Of course Christine Baranski is fantastic. Honestly, I have a hard time finding anyone out of place in the cast.I find this show wholly enjoyable, and that's coming from someone that slept through ""The Crown"" and, out of boredom, set small fires in the house when my wife turned on ""Downton Abby"".One episode and out is shortsighted. So, take a chance, and let soak in.",9
"Style without substance","On the surface this show has everything one would expect from the creator of Downton Abbey- luscious settings and costumes, great period detail, an awareness of social issues- but it lacks a key element. The writing is sub par. The dialog is overly expository as if it has to explain every detail verbally instead of letting the characters develop naturally. The actors, even the ones who are usually quite good (and trying their best here- Cynthia Nixon and Christine Baranski) cannot get past the blank declarations of their characters status and motivations. There's no subtlety here. The only character who is allowed to have any realistic expression is Peggy Scott. The others are mostly cardboard cutouts of real people particularly the social climbing Russells.",7
"Highly Engaging","This series is written by Julian Fellowes, who also developed Downton Abbey. Like Downton Abbey, The Gilded Age is a period drama. It's set in ca 1880s; it's about class - there's a clear upstairs and downstairs, and an old money vs. Nouveau riche. Where it's markedly different is that there's conflict on a bigger scale, and it's more centered around social class. Instead of focusing on one family, it's focused on two: one old money family, the Van Rhijns, who are accepted at the highest levels of New York society, but feeling the financial pinch; and one very new money family, the Russell's, who have tremendous wealth, but are striving to be accepted by NY society. This creates a very well defined path of conflict as the Russell's leverage Mrs Russell's tactics and George Russell's money and strong arm methods to achieve social victories. Meanwhile their neighbor Agnes Van Rhijn is stuck in a paradigm of social propriety, and attempts to control her brow beaten sister Ada Brook, her closeted son Oscar, and her recently arrived niece Marian. Having just walked into this world from a middle class life in Pennsylvania, Marian is a central character as she navigates the system and tries to build a new life in NY. Of course, while Agnes Van Rhijn and Mr & Mrs Russell dislike each other, the younger members of both families are friendly with one another and become close. Alongside the lives upstairs are the lives downstairs. Each house has a staff below the stairs whom we get to know quite well, and who bring their own problems and stories. Indeed, the butlers have a tense rivalry with one another before calling a truce in season 2.Another story stream involves a young black woman, Peggy Scott, who Marian meets on her way to NYC. Peggy becomes a secretary for Mrs Van Rhijn and then finds work as a journalist for a black newspaper. Through her and her family we get to see the world of middle class black people at the time - a world Marian wasn't expecting. And on a trip to Alabama during which Peggy and her editor are chased by a lynch mob, we watch her come to terms with how privileged she's been living in NY as compared to black people dealing with dangerously open racism in the south.All of these interpersonal issues are set against things going on during the period: black lives post civil war, the establishment of the Tuskegee Institute, the rise of industrialists, the labor movement, the conflict that led to the founding of the Metropolitan Opera, etc. So the series makes for a lesson in social history.As a production, the costumes and sets are absolutely fabulous. I think it's fairly well cast - there are some roles where I thought they could do better. There were very few actors I'd seen before, which can be a good thing. (I think they used a lot of theatre actors.) Carrie Coon as Bertha Russell, Christine Baranski as Agnes Van Rhijn, and Cynthia Nixon as Ada Brook were perfect. Nixon surprised me, and she and Baranski had good chemistry. Denee Benton was also great as Peggy Scott. Some people have criticized the choice of Louisa Jacobson as Marian Brooks, but I thought she was right for the role. The only role I thought was terribly cast or perhaps acted, was Nathan Lane as Ward McAllister - a sort of social currency broker. I usually like him in anything, but his southern accent was just god awful; just kind of ruined the ambiance.I'm looking forward to season 3.",9
"... early-days ... nothing yet outstanding or terrible",".. early to tell yet so far so good... nothing much new in the story.. but acting is up to the task, and it's interesting to see Streep's youngest daughter take to the small screen... we'll see how it goes.",7
"Sadly not a success","Like most viewers I looked forward to this series. So it saddens me to say it is not very good. The writing and dialog are stilted and rarely sound like something human beings of any age might actually say. This problem results in acting which ranges from acceptable to dreadful. Some of th characters spew lines rather than speak or relate them. The weakest links is Louisa Jacobson, daughter of Meryl Streep. This is her first role and she simply and sadly is not up to the challenge. Her performance is wooden and on the level with a high school production. As her character is the focus of the early episodes the result is a poor performance which harms all the others and the story. The supporting characters suffer the same fate. Rapid fire delivery of clunky dialog. I was surprised by Cynthia Nixon who makes her character believable even sympathetic. Christine Baranski is saddled with lines which are supposed to be witty but come off as brittle and leaden. She offers then with great theatrically. The sets look great so enjoy the view, it's the best you can hope for.",3
"A peaceful haven in a world of fleeting passions.","It's so different from all of the rest of latest period dramas like Bridgerton, and even Sanditon. It's a good old period drama, where good always wins, but with enough ""drama"" to keep you involved and excited. The cast is nice and diverse, the wardrobe is beautiful. It's new world meets old world kinda intrigue.And it's just nice, and doesn't make you stressed. Characters are mostly kind and good-natured, there's not a single character you truly hate. It's definitely not steamy, it very PG13 in that aspect, but it reminded me of old BBC period dramas.Highly recommend and can't wait for the next season to arrive.",9
"Zippy & Snappy . . . .","This show was a surprise. I really wanted to watch a TV series I could binge a bit, which means to me watching episodes over a period of weeks or months, but this one I finished in a week. All the 50-minute episodes, with commercials, seemed to last no more than 30 minutes. I guess that means I found the episodes absorbing, even though the story lines aren't terribly exciting.Unlike other reviewers, I found many of the characters quite interesting, both upstairs and downstairs. Agnes, Ada, Bannister, Peggy, Gladys, and on and on. Cynthia Nixon surprised me because I had never seen her in anything, but had read about her in newspaper and magazine articles, always imaging her to be a tough cookie type. In this series, she is a most believable sweet and kind soul.Christine Baranski is the tough cookie on the show and provides never-ending wit and laughs, as does Nathan Lane as the very Southern Ward McAllister. The downstairs characters also provide many laughs, one of the funniest being when the truth is learned about French chef Monsieur Baudin.Violence is limited and I warn Julian Fellows he better keep it that way! If any woman in this series is shown raped and beaten, as what happened in Downton Abbey, I will stop watching. That's not to deny the reality of the times, but this is a fun escape-reality type of show and needs to remain that way. We've already had a death, as well as poor Bridget's sad story, and don't need lots more tragedy.George and Bertha? I often dislike them for their ruthless natures, but don't always dislike them. I think that means Morgan Spector and Carrie Coon are doing a fine job creating complex characters who do get some sympathy. Both their children are quite likable, too, not at all ruthless or overly ambitious.Peggy and her family? It's a good twist to show a black woman of the time period who comes from a professional family, instead of growing up in a shack. Her father owns a pharmacy and her parent's home is beautiful. There are still prejudices shown in New York City, however, which is good since a terrifying racist incident is shown when Peggy visits the South; and it's always laughable when movies and TV shows make it seem like hatred of blacks only existed in the South, during any time period in history.Thus, I would recommend this series to anyone who likes period pieces, and wants to view the battle between old money and new money. No, everything isn't exactly how it was in reality in 1800s New York City, but, once again, this is an escape-reality type of show, not a documentary. It is educational to a point, too, such as showing the events where the Brooklyn Bridge was opened, and The New York Times building was lit up by Thomas Edison. This series is obviously not meant to be dark and gritty, but decorous and lively.P. S. I love the soundtrack, too!",9
"A pleasant surprise!","I've have been a long time reader, and fan of Julien Fellows. I always loved Downton, and had my favorites on the show, however while it is fun to visit that period in time I don't feel a personal attachment to it. The Gilded Age takes place at around 4 decades before my family immigrated to New York. They knew of many of the ""high-profile"" families mentioned in the show. It's so fun to watch history being made, while enjoying a really well written, acted, and costumed period drama. Even after all of these years loving Downton and the attention for detail, I think The Gilded Age has just stolen the #1 spot for my favorite period series. I hope it continues on for many seasons! Such a phenomenal cast, I'm eagerly anticipating every Monday!",10
"Vapid and Phony","Not much story and almost no authenticity. CGI city with lots of phony smoke is the background. The characters are more caricatures, a bunch of silly women huffing and puffing about their social status while the men are relegated to the background to make the money that gives the silly women their status.The heroine (Louisa Jacobson) is rather frumpy and too old for the ""babe in the woods"" role, while Christine Baranski acts like she's playing a warden in a women's prison movie. Cynthia Nixon continues to play Julie Harris (and not very well).The Black subplot isn't very interesting, and the money-making schemes of Russell (Morgan Spector) are so glossed over that they make no sense. The main social climber, Mrs. Russell (Carrie Coon), is unlikable although I suspect we're supposed to see her as a champion.Lots of Broadway stage people in this (out of work because of COVID): Audra McDonald, Kelli O'Hara, Donna Murphy, Nathan Lane, Katie Finneran, etc.Overall, the acting is flat and the enunciation is unbearably phony and crisp. Of course we all talked like that in the 1880s and no one had any kind of regional accent.",10
"Fantastic","The production design and costume design are enough of a reason to watch. Performances are strong across the board and the dialogue is perfection. I know this because I just watched the first episode unlike some people that leave comments before the episode even finished and labeled the show as ""woke"". I guess having mostly women in the lead cast and a black character makes this show super woke. I'm honestly surprised some commenters had the time to pause Transformers for two seconds to leave such insightful comments. I don't know who needs to hear this but if you don't like something, no one is forcing you to watch it. You are leaving comments just to be a troll.",10
"Please keep Guilded Age","There are not many shows that my husband and I watch together but The Guilded Age is one of them. We hope you get many more reviews to inspire another season. I'm not sure how true to life facts are included but the names of the characters and locations sound like they are. We get a glimpse into high society and the dirty little secrets that's so entertaining that we just want to see more! Great writing and actors! What shows will we have in common anymore? It was quite surprising to me that he would be interested in a night time storyline that has so much gossip and back stabbing that we hope you will consider bringing it back. Looking forward to season 3.",10
"Absolute masterpiece!","I absolutely love this series! The majesty and mastery of the intricate goings on at the time are eloquently portayed, Aunt Agnes is a triumph and although a harsh woman, shows a softer side when needed! I must also salute the costume department, never have I wanted to be able to have lived at the time more than this, the sumputous fabrics and gorgeous dresses!! BRAVO!! I have just finished S2 and well I couldn't have cheered more than in the last 5 minutes!! All the stories are so well interlinked and even the Household staff are great! Bannister being one of my favourites! I hope there will be a third series!",7
"Meryl Streep's spawn is ironically the worst actor in this series","You can say that ""The Gilded Age"" is a knock-off of the beloved ""Downton Abbey,"" effectively showcasing the beautiful sets and award-worthy costumes, however failing miserably to come up with compelling plot lines. The multiple subplots in ""The Gilded Age"" are razor thin and just try to get by from the sheer quantity. I keep hoping for some original plot development or even shocking twists but they never come. Besides the pretty art work and costumes to look at, the talented actors do keep me glued, especially the two sisters played by Cynthia Nixon and Christine Baranski. You have to love Baranski's cool snide delivery of those memorable one-liners. Cynthia Nixon is a revelation here as Aunt Ada. I have always found her to be rather annoying in her other work, but here she is my favorite, and I look forward to every scene that she is in. The other actors, from Carrie Coon as Bertha Russell to Blake Ritson as Oscar, deliver capably as expected. However, it needs to be called out that the main protagonist, the so-called glue to all characters and all storylines, is played by an actress who is clearly out of her league. The burden of carrying the show falls on her shoulders, and her inexperience and shortcomings are in full view. Louisa Jacobson exudes zero charm as Marion Brook. She fails to make this central character sympathetic which is critical to the quality of this show. For the first few episodes I start to question why she is selected as the main actress as I am perplexed. Then I find out that she is the daughter of none-other-than the great Meryl Streep, possibly the best actress of all time. There must be an assumption that due to genetic association, Louisa has to be just as good. But here is living proof that sometimes the apple can indeed fall far from the tree.",10
"Another Julian Fellowes Triumph","Here we see Julian Fellowes tell the story of late 19th century New York City high society, specifically the clash between the old money blue-bloods and the nouveau riche. As with all things Julian Fellowes does, the attention to historical detail - from clothing, to decor, to food, to mannerisms - is absolutely superb. The acting is fantastic, as most of the cast are Tony award-winning Broadway theater actors who found themselves available in early 2020 (when filming began) as a result of Covid shutting down the Broadway theaters.Some reviewers mention that The Gilded Age seems like a copy of Downton Abbey, likely not realizing that Julian Fellowes is the creator of both... and that both are part of the same transatlantic high-society story (although The Gilded Age begins in 1882 and Downton Abbey begins in 1912. Moreover, Julian Fellowes has hinted in an interview that he plans to introduce at some point a young Cora Levinson (later known as Cora Crawley/Lady Grantham), as it was known from Downton Abbey that Cora was known to both NYC and Newport society and was part of the less-accepted nouveau riche (thus the reason she was sent to London to find a husband).It's also interesting the references to the old 5th Avenue mansions. In fact, the Russell's mansion which is identified as being at 801 5th Avenue (at E. 61st) is actually the Bostwick Mansion (demolished in.1979, where now stands a 33-story luxury apartment building).",7
"Marian is a weak link","It's really unfortunate with this cast-some truly great actors here-that the central character of Marian, played by Louisa Jacobson, is so poorly cast. Her wooden delivery drags down every scene she's in--and her character is really central to the whole story. She should be the character we care most about. Big miss there. Otherwise, the costumes, acting, and sets are very good. This period drama is not going to dazzle you, but it's very solid, decent entertainment that's completely enjoyable-- except for Jacobson, who sadly made me cringe almost every time she delivered her lines (and I never forgot she was ""acting."" Ouch.)",2
"Horrible acting","Louisa Jacobson clearly got this role due to who her mom is. The acting is terrible except for Christine Baranski and Cynthia Nixon who are great along with a couple others but for the most part it's painful to watch but yet I keep watching to see if it gets any better. It's not.",9
"First Episode Enjoyable","I've waited a long time to see this show and I'm not disappointed, so far. Good characters played by good actors so I'm looking forward to seeing more.",8
"Stick with this until at least episode 6","It's rather slow and... 'wooden' in the beginning half of the series. Stick with it and you won't be disappointed!! The drama needs some time to ramp up. I'm not super keen on Louisa Jacobson's acting.. she's very stiff... But I try to look past it by thinking of the period they are in. The story lines are all interesting as time passes.",8
"Harmless Fun with a touch of historic interest","This is a well made light hearted show, the interesting part is the view of New York at that time, the money and opulence of the ruling class, it makes for a lighthearted change to the endless sex and violence.",10
"Outstanding","While I had been waiting for the premiere of this show once it started I took my time watching it. You know how it is. You want to watch something but don't feel like you're in the mood for it. But I finally hunkered down and watched the double length series premiere. When you watch it straight through it is phenomenal. The second episode even more so. You're still getting to know some of the players but you're loving the game. I dare someone to say they don't absolutely love George Russell by the end of episode two. I've watched that scene repeatedly. It's kind of awesome.Give the show a chance. It's enjoyable watching snobs get their comeuppance. It tickles me every time.",9
"A Story of Its Time and Place","This is a very specific story of the time in NY when new money families were encroaching on old money family's social circles. It did happen.Many of you are not interested in this story. Don't watch it. I'm interested in it.It was a more formal time. People did speak somewhat stiffly.I've been looking forward to this show for years, so I'm going to give it a chance.",10
"Incredible costumes! Great acting. Entertaining storylines.","I LOVE THIS SHOW!!!I cannot express how much I appreciate the commitment to quality in this show . . . The costumes, the sets, and so much more. The Gilded Age has also brought on some amazing talent to play fictional and non-fictional characters.So much centers on Bertha and George Russell. Strong, passionate, and committed to their family. This show also has some of the best characters that I love to hate.Julian Fellowes does it again . . . But, on this side of the Atlantic. I look forward to each and every episode. Then watch them again and again. I hope there will be more seasons to come.",6
